"region_full","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Van. Isl. Main. Inl.","West VI","PO14","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Northwest VI","PO15","Pink",2,"Not assessed",-43,1,8272,2019,"Special concern"
"Haida Gwaii","West","PO16","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","North","PO17","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","East","PO18","Pink",2,"Not assessed",-45,-6,77908,2021,"Special concern"
"Central Coast","Rivers/Smith Inlets","PO19","Pink",2,"Not assessed",-97,19,922854,2021,"Endangered"
"Central Coast","Bella Coola/Dean ","PO20","Pink",2,"Not assessed",-97,19,922854,2021,"Endangered"
"Central Coast","Hecate Strait Mainland","PO21","Pink",2,"Not assessed",384,3,1229478,2021,"Not at risk"
"Central Coast","Northern Coastal Streams","PO22","Pink",2,"Not assessed",-30,12,5180608,2021,"Special concern"
"Skeena","Skeena Estuary","PO23","Pink",2,"Not assessed",-92,17,104406,2017,"Endangered"
"Skeena","Lower Skeena","PO24","Pink",2,"Not assessed",-97,-1,176055,2017,"Endangered"
"Skeena","Middle Skeena","PO25","Pink",2,"Not assessed",82,6,853053,2017,"Not at risk"
"Skeena","Upper Skeena","PO26","Pink",2,"Not assessed",82,6,853053,2017,"Not at risk"
"Nass","Portland Canal","PO27","Pink",2,"Not assessed",6,28,1471216,2017,"Not at risk"
"Fraser","Anderson-Seton-ES ","SE001","Sockeye-Lake",4,"Not at risk",-79,37,32077,2021,"Endangered"
"Fraser","Bowron-ES ","SE002","Sockeye-Lake",4,"Endangered",-88,-44,3158,2021,"Endangered"
"Fraser","Chilko-ES population / Chilko-S ","SE003","Sockeye-Lake",4,"Not at risk",NA,NA,NA,NA,NA
"Fraser","Chilko-ES population / Chilko-S ","SE004","Sockeye-Lake",4,"Not at risk",-86,24,900055,2021,"Endangered"
"Fraser","Chilliwack-ES ","SE005","Sockeye-Lake",4,"Not at risk",-59,184,2037,2021,"Threatened"
"Fraser","Cultus-L ","SE006","Sockeye-Lake",4,"Endangered",-99,-40,277,2021,"Endangered"
"Fraser","Francois-Fraser-S ","SE007","Sockeye-Lake",4,"Special Concern",NA,NA,NA,NA,NA
"Fraser","Nadina-Francois-ES ","SE008","Sockeye-Lake",4,"Not at risk",22,35,12519,2021,"Not at risk"
"Fraser","Harrison (D/S)-L ","SE009","Sockeye-Lake",4,"Special Concern",-98,104,1856,2021,"Endangered"
"Fraser","Harrison (U/S)-L ","SE010","Sockeye-Lake",4,"Endangered",-91,-53,80395,2021,"Endangered"
"Fraser","Kamloops-ES ","SE011","Sockeye-Lake",4,"Special Concern",-87,74,5264,2021,"Endangered"
"Fraser","Lillooet-Harrison-L ","SE012","Sockeye-Lake",4,"Special Concern",-96,-26,48036,2021,"Endangered"
"Fraser","Nahatlatch-ES ","SE013","Sockeye-Lake",4,"Special Concern",-56,6,5997,2021,"Threatened"
"Fraser","North Barriere-ES ","SE014","Sockeye-Lake",4,"Extinct",-94,-18,891,2021,"Endangered"
"Fraser","Pitt-ES ","SE015","Sockeye-Lake",4,"Not at risk",-86,18,19441,2021,"Endangered"
"Fraser","Quesnel-S ","SE016","Sockeye-Lake",4,"Endangered",-62,15,101434,2021,"Threatened"
"Fraser","Seton-L ","SE017","Sockeye-Lake",4,"Endangered",-87,-50,2887,2021,"Endangered"
"Fraser","Shuswap Complex-L ","SE018","Sockeye-Lake",4,"Not at risk",-99,-45,29897,2021,"Endangered"
"Fraser","Shuswap-ES ","SE019","Sockeye-Lake",4,"Not at risk",-96,-17,27154,2021,"Endangered"
"Fraser","Takla-Trembleur-EStu ","SE020","Sockeye-Lake",4,"Endangered",-96,-55,53932,2021,"Endangered"
"Fraser","Takla-Trembleur-Stuart-S ","SE021","Sockeye-Lake",4,"Endangered",12,16,379925,2021,"Not at risk"
"Fraser","Taseko-ES ","SE022","Sockeye-Lake",4,"Endangered",-75,-57,1327,2021,"Endangered"
"Fraser","Widgeon (River-Type) ","SE023","Sockeye-River",4,"Threatened",-92,-26,124,2021,"Endangered"
"Fraser","Harrison (River-Type) ","SE024","Sockeye-River",4,"Not at risk",-98,176,56184,2021,"Endangered"
"Van. Isl. Main. Inl.","South Coast-Georgia Strait","SE025","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI-Georgia Strait","SE026","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","South Coast-S Fjords","SE027","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI-Southern Fjords","SE028","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Hamothko-Klinaklini-S Fjords","SE029","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","West VI","SE030","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Northwest VI","SE031","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Rivers/Smith Inlets","SE035","Sockeye-River",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Bella Coola/Dean ","SE036","Sockeye-Lake",4,"Not assessed",-77,-50,1077,2021,"Endangered"
"Central Coast","Northern Coastal Streams","SE037","Sockeye-Lake",4,"Not assessed",-77,-50,1077,2021,"Endangered"
"Central Coast","Hecate Lowlands","SE038","Sockeye-River",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","Lower Skeena River","SE039","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","Middle Skeena River","SE040","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","Upper Skeena River","SE041","Sockeye-River",5,"Not assessed",1112,218,335,2019,"Threatened"
"Nass","Lower Nass-Portland","SE042","Sockeye-River",4,"Not assessed",382,106,14563,2017,"Not at risk"
"Nass","Upper Nass River","SE043","Sockeye-River",4,"Not assessed",593,-16,237,2017,"Endangered"
"Van. Isl. Main. Inl.","Sakinaw","SE051","Sockeye-Lake",5,"Endangered",360,-79,3,2018,"Not at risk"
"Van. Isl. Main. Inl.","Tzoonie","SE052","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Fulmore","SE053","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Heydon","SE054","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Kakweiken","SE055","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Loose","SE056","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Mackenzie","SE057","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Phillips","SE058","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Ida/Bonanza","SE059","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Nahwitti","SE060","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Nimpkish","SE061","Sockeye-Lake",5,"Not assessed",209,-14,30029,2017,"Not at risk"
"Van. Isl. Main. Inl.","Quatse","SE062","Sockeye-Lake",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Schoen","SE063","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Shushartie","SE064","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Woss","SE065","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Vernon","SE066","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Cecilia","SE067","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Cheewat","SE068","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Clayoquot","SE069","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Deserted","SE070","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Fairy","SE071","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Great Central","SE072","Sockeye-Lake",5,"Not assessed",-38,-13,139976,2020,"Special concern"
"Van. Isl. Main. Inl.","Henderson","SE073","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Hesquiat","SE074","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Hobiton","SE075","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Jansen","SE076","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Kanim","SE077","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Kennedy","SE078","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Maggie","SE079","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Megin","SE080","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Muchalat","SE081","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Muriel","SE082","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Nitinat","SE083","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Park River","SE084","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Power","SE085","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Sproat","SE086","Sockeye-Lake",5,"Not assessed",71,28,133699,2020,"Not at risk"
"Van. Isl. Main. Inl.","Alice","SE087","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","Canoe Creek","SE088","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","O'Connell","SE089","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","William/Brink","SE090","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","Mercer","SE091","Sockeye-Lake",5,"Not assessed",56,-6,4000,2018,"Not at risk"
"Haida Gwaii","Fairfax","SE092","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","Awun","SE094","Sockeye-Lake",5,"Not assessed",-21,52,7800,2021,"Not at risk"
"Haida Gwaii","Jalun","SE095","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","Yakoun","SE096","Sockeye-Lake",5,"Not assessed",-46,-24,2600,2021,"Special concern"
"Haida Gwaii","Mathers","SE098","Sockeye-Lake",5,"Not assessed",304,-47,2500,2016,"Not at risk"
"Haida Gwaii","Skidegate","SE099","Sockeye-Lake",5,"Not assessed",18,-27,13500,2021,"Not at risk"
"Central Coast","Long","SE100","Sockeye-Lake",5,"Not assessed",688,-15,97942,2014,"Not at risk"
"Central Coast","Owikeno","SE101","Sockeye-Lake",5,"Not assessed",-24,-31,46596,2019,"Not at risk"
"Central Coast","Wannock","SE102","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","S Atnarko","SE103","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Canoona","SE104","Sockeye-Lake",5,"Not assessed",-61,79,11400,2021,"Threatened"
"Central Coast","Evelyn","SE105","Sockeye-Lake",5,"Not assessed",-48,-7,1840,2021,"Special concern"
"Central Coast","Kainet","SE106","Sockeye-Lake",5,"Not assessed",-54,33,1400,2021,"Threatened"
"Central Coast","Kimsquit","SE107","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Kitkatla","SE108","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Kitlope","SE109","Sockeye-Lake",5,"Not assessed",-28,-13,19880,2021,"Not at risk"
"Central Coast","Pine","SE110","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Banks","SE111","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Bloomfield","SE112","Sockeye-Lake",5,"Not assessed",-8,-10,810,2021,"Threatened"
"Central Coast","Bolton","SE113","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Bonilla","SE114","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Tuwartz","SE115","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Fannie","SE116","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Curtis","SE117","Sockeye-Lake",5,"Not assessed",-37,-35,5104,2015,"Special concern"
"Central Coast","Devon","SE118","Sockeye-Lake",5,"Not assessed",-64,-7,2180,2017,"Threatened"
"Central Coast","Elsie/Hoy","SE119","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","End Hill","SE120","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Freeda/Brodie","SE121","Sockeye-Lake",5,"Not assessed",-64,-7,600,2020,"Threatened"
"Central Coast","Higgins Lagoon","SE122","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Kdelmashan","SE123","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Keesha","SE124","Sockeye-Lake",5,"Not assessed",-78,-7,1600,2017,"Endangered"
"Central Coast","Kent Inlet","SE125","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Kildidt Lagoon Creek","SE126","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Kisameet","SE127","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Koeye","SE128","Sockeye-Lake",5,"Not assessed",90,9,10861,2021,"Not at risk"
"Central Coast","Kooryet","SE129","Sockeye-Lake",5,"Not assessed",-97,-25,40,2020,"Endangered"
"Central Coast","Kwakwa","SE130","Sockeye-Lake",5,"Not assessed",-97,-25,1130,2021,"Endangered"
"Central Coast","Limestone","SE131","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Mary Cove","SE132","Sockeye-Lake",5,"Not assessed",42,-50,660,2018,"Threatened"
"Central Coast","Mikado","SE133","Sockeye-Lake",5,"Not assessed",-63,11,4410,2017,"Threatened"
"Central Coast","Namu","SE134","Sockeye-Lake",5,"Not assessed",37,-10,3514,2021,"Not at risk"
"Central Coast","Port John","SE135","Sockeye-Lake",5,"Not assessed",110,-26,294,2021,"Threatened"
"Central Coast","Powles","SE136","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","Prudhomme","SE137","Sockeye-Lake",5,"Not assessed",-81,-24,378,2016,"Endangered"
"Central Coast","Ryan","SE138","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Salter","SE139","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Scoular/Kilpatrick","SE140","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","Shawatlan","SE141","Sockeye-Lake",5,"Not assessed",-77,-1,3400,2015,"Endangered"
"Central Coast","Spencer","SE142","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Talamoosa","SE143","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Tankeeah","SE144","Sockeye-Lake",5,"Not assessed",-46,-21,2000,2020,"Special concern"
"Central Coast","Tsimtack","SE145","Sockeye-Lake",5,"Not assessed",2221,-12,1560,2021,"Not at risk"
