"region_full","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Central Coast","Lewis","T29","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Lowe/Simpson/Weare","T30","Sockeye-Lake",5,"Not assessed",-97,-19,11000,2021,"Endangered"
"Central Coast","Mcdonald","T31","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Mcloughlin","T32","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Monckton Inlet","T33","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Price","T34","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Roderick","T35","Sockeye-Lake",5,"Not assessed",-73,-22,140,2020,"Endangered"
"Central Coast","Sheneeza","T36","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Ship Point","T37","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Stannard","T38","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Treneman","T39","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Tuno East","T40","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Tyler","T41","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Watt","T42","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","West Creek","T43","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","Yaaklele","T44","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","Onerka","T47","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","Momich-ES",NA,"Sockeye-Lake",4,"Endangered",NA,NA,NA,NA,NA
