"region_full","SMU","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Fraser","FRASER SUMMER RUN 41 CHINOOK SALMON","Upper Adams-Stream-Summer","CK29","Chinook",5,"Not assessed",-36,-5,101,2018,"Endangered"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","Lower Fraser-Stream-Spring","CK3","Chinook",5,"Special Concern",-82,12,357,2023,"Threatened"
"Haida Gwaii","HAIDA GWAIICHINOOK SALMON","North-Ocean/Stream-Summer","CK30","Chinook",6,"Not assessed",204,287,7500,2006,"Not at risk"
"Haida Gwaii","HAIDA GWAIICHINOOK SALMON","East-Ocean-Fall","CK31","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Smith Inlet-Ocean-Summer","CK32","Chinook",4,"Not assessed",-11,-33,391,2011,"Threatened"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Rivers Inlet-Stream-Summer","CK33","Chinook",5,"Not assessed",-82,6,485,2017,"Endangered"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Wannock","CK34","Chinook",5,"Not assessed",38,17,5970,2017,"Not at risk"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Bella Coola/Bentinck-Ocean-Summer","CK35","Chinook",5,"Not assessed",31,-19,10934,2017,"Not at risk"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Dean River-Stream-Summer","CK36","Chinook",5,"Not assessed",-49,-6,730,2017,"Threatened"
"Central Coast","CENTRAL COAST CHINOOK SALMON","NCC late-Ocean/Stream- Summer","CK37","Chinook",5,"Not assessed",-72,42,1922,2020,"Endangered"
"Central Coast","CENTRAL COAST CHINOOK SALMON","NCC early-Ocean-Spring","CK38","Chinook",5,"Not assessed",-26,-10,900,2017,"Threatened"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","Lower Fraser-Stream-Summer (Pitt)","CK4","Chinook",5,"Endangered",-74,-50,69,2023,"Endangered"
"Skeena","CENTRAL COAST CHINOOK SALMON","Skeena Estuary-Stream-Summer","CK40","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA CHINOOK SALMON","Ecstall","CK41","Chinook",6,"Status assessment recommended",-70,-57,1311,2001,"Endangered"
"Skeena","SKEENA CHINOOK SALMON","Lower Skeena-Stream-Summer","CK42","Chinook",6,"Status assessment recommended",-81,-23,2079,2020,"Endangered"
"Skeena","SKEENA CHINOOK SALMON","Kalum-Early","CK43","Chinook",6,"Status assessment recommended",-5,-2,507,2011,"Threatened"
"Skeena","SKEENA CHINOOK SALMON","Kalum-Late","CK44","Chinook",6,"Status assessment recommended",-55,-19,4777,2020,"Endangered"
"Skeena","SKEENA CHINOOK SALMON","Bulkley-Stream-Spring","CK45","Chinook",6,"Status assessment recommended",133,255,1138,2006,"Not at risk"
"Skeena","SKEENA CHINOOK SALMON","Middle Skeena-Lakes-Stream-Summer","CK46","Chinook",6,"Not assessed",-80,-35,6809,2020,"Endangered"
"Skeena","SKEENA CHINOOK SALMON","Middle Skeena-M/S-Tribs","CK47","Chinook",6,"Status assessment recommended",-87,-26,1544,2020,"Endangered"
"Skeena","SKEENA CHINOOK SALMON","Upper Skeena-Stream-Spring","CK48","Chinook",6,"Not assessed",-82,-27,1518,2020,"Endangered"
"Nass","CENTRAL COAST CHINOOK SALMON","Lower Nass River-Stream-Summer","CK49","Chinook",5,"Status assessment recommended",-3,8,4800,2022,"Not at risk"
"Fraser","FRASER SUMMER RUN 52 CHINOOK SALMON","Lower Fraser-Stream-Summer (Lillooet) ","CK5","Chinook",5,"Threatened",-27,6,82,2023,"Endangered"
"Nass","NASS CHINOOK SALMON","Upper Nass-Stream-Summer","CK50","Chinook",5,"Status assessment recommended",-39,-26,13404,2022,"Threatened"
"Fraser","FRASER SUMMER RUN 41 CHINOOK SALMON","Lower Fraser-Ocean-Summer","CK6","Chinook",4,"Endangered",-96,50,69,2023,"Endangered"
"Yukon","YUKON CHINOOK SALMON","Yukon/Teslin-Stream Summer","CK60","Chinook",5,"Not assessed",-65,-19,7228.096125,2024,"Endangered"
"Yukon","YUKON CHINOOK SALMON","Big Salmon-Stream-Summer","CK61","Chinook",5,"Not assessed",-67,-22,1899,2024,"Endangered"
"Yukon","YUKON CHINOOK SALMON","Nordenskiold-Stream-Summer","CK62","Chinook",5,"Not assessed",279,-6,2085.272793,2024,"Not at risk"
"Yukon","YUKON CHINOOK SALMON","Mid-Yukon-Stream-Summer","CK63","Chinook",5,"Not assessed",-46,-18,4790.443964,2024,"Threatened"
"Yukon","YUKON CHINOOK SALMON","Pelly-Stream-Summer","CK64","Chinook",5,"Not assessed",-78,-34,4483.467974,2024,"Endangered"
"Yukon","YUKON CHINOOK SALMON","White-Stream-Summer","CK65","Chinook",5,"Not assessed",-44,-30,766.8720386,2024,"Threatened"
"Yukon","YUKON CHINOOK SALMON","N Yukon-Stream-Summer","CK66","Chinook",5,"Not assessed",-57,-38,2478.406389,2024,"Endangered"
"Yukon","YUKON CHINOOK SALMON","Porcupine-Stream-Summer","CK67","Chinook",5,"Not assessed",-98,-98,468,2024,"Endangered"
"Yukon","YUKON CHINOOK SALMON","Old Crow-Stream-Summer","CK68","Chinook",5,"Not assessed",-98,-98,468,2024,"Endangered"
"Columbia","OKANAGAN CHINOOK SALMON","Okanagan-Ocean-Fall","CK69","Chinook",4,"Endangered",63,196,23,2022,"Endangered"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","Middle Fraser-Stream-Spring (FR Canyon)","CK7","Chinook",5,"Endangered",1150,-29,108,2023,"Endangered"
"Fraser","FRASER SUMMER RUN 52 CHINOOK SALMON","Middle Fraser-Stream-Fall (Portage)","CK8","Chinook",5,"Endangered",-43,-33,118,2023,"Endangered"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","Middle Fraser-Stream-Spring","CK9","Chinook",5,"Threatened",-11,-23,3688,2023,"Special concern"
"Fraser","FRASER CHUM SALMON","Lower Fraser","CM01","Chum",4,"Not assessed",-60,-49,1141649,2022,"Endangered"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","Georgia Strait Mainland","CM02","Chum",4,"Not assessed",31,16,546314,2018,"Not at risk"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","Howe Sound-Burrand Inlet","CM03","Chum",4,"Not assessed",-47,47,118258,2018,"Threatened"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","East VI","CM04","Chum",4,"Not assessed",31,16,546314,2018,"Not at risk"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","South Coastal Streams","CM05","Chum",4,"Not assessed",1033,-47,1750,2018,"Not at risk"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","Loughborough Inlet","CM06","Chum",4,"Not assessed",-63,-13,9570,2018,"Endangered"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","Bute Inlet","CM07","Chum",4,"Not assessed",648,18,24101,2018,"Not at risk"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","Upper Knight Inlet","CM08","Chum",4,"Not assessed",2092,-52,7579,2003,"Not at risk"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","Northeast VI","CM09","Chum",4,"Not assessed",-76,-17,462,2018,"Endangered"
"Van. Isl. Main. Inl.","INNER SOUTH COAST CHUM SALMON","West Vancouver Island","CM10","Chum",4,"Not assessed",89,5,546314,2018,"Not at risk"
"Van. Isl. Main. Inl.","WCVI CHUM SALMON","Northwest Vancouver Island","CM11","Chum",4,"Not assessed",69,12,57862,2015,"Not at risk"
"Haida Gwaii","HAIDA GWAII CHUM SALMON","West","CM12","Chum",5,"Not assessed",-56,-10,59284,2021,"Endangered"
"Haida Gwaii","HAIDA GWAII CHUM SALMON","North","CM13","Chum",5,"Not assessed",-53,-38,22203,2019,"Endangered"
"Haida Gwaii","HAIDA GWAII CHUM SALMON","Stanley Creek","CM14","Chum",5,"Not assessed",-85,-15,300,2010,"Endangered"
"Haida Gwaii","HAIDA GWAII CHUM SALMON","East","CM15","Chum",5,"Not assessed",-50,-21,36043,2021,"Endangered"
"Central Coast","CENTRAL COAST CHUM SALMON","Smith Inlet","CM16","Chum",4,"Not assessed",-60,-12,14110,2021,"Endangered"
"Central Coast","CENTRAL COAST CHUM SALMON","Wannock River","CM17","Chum",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST CHUM SALMON","Bella Coola/Dean ","CM18","Chum",4,"Not assessed",22,8,126853,2021,"Not at risk"
"Central Coast","CENTRAL COAST CHUM SALMON","Bella Coola-Late","CM19","Chum",4,"Not assessed",85,-4,10262,2021,"Not at risk"
"Skeena",NA,"Hecate Lowlands - Skeena Estuary","CM20","Chum",NA,"Not assessed",-77,-4,45282,2021,"Endangered"
"Central Coast","CENTRAL COAST CHUM SALMON","Douglas-Gardner","CM21","Chum",4,"Not assessed",-78,-8,160654,2021,"Endangered"
"Skeena","SKEENA-NASS CHUM SALMON","Skeena","CM22","Chum",4,"Not assessed",-83,-16,665,2017,"Endangered"
"Nass",NA,"Portland Canal/Observatory Inlet","CM23","Chum",4,"Not assessed",572,-7,97478,2022,"Not at risk"
"Nass","SKEENA-NASS CHUM SALMON","Lower Nass ","CM24","Chum",4,"Not assessed",-23,-35,21951,2016,"Special concern"
"Yukon","YUKON CHUM SALMON","Yukon Plateau/Headwaters","CM28","Chum",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","YUKON CHUM SALMON","White","CM29","Chum",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","YUKON CHUM SALMON","North Yukon/Klondike","CM30","Chum",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Yukon","PORCUPINE CHUM SALMON","Porcupine","CM31","Chum",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","STRAIT OF GEORGIA COHO SALMON","Boundary Bay","CO01","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","LOWER FRASER COHO SALMON","Lower Fraser","CO02","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","LOWER FRASER COHO SALMON","Lillooet","CO03","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","INTERIOR FRASER COHO SALMON","Fraser Canyon","CO04","Coho",3,"Threatened",1123,-30,6420,2022,"Not at risk"
"Fraser","INTERIOR FRASER COHO SALMON","Middle Fraser","CO05","Coho",3,"Threatened",442,13,15735,2022,"Not at risk"
"Fraser","INTERIOR FRASER COHO SALMON","Lower Thompson","CO06","Coho",3,"Threatened",317,17,20032,2022,"Not at risk"
"Fraser","INTERIOR FRASER COHO SALMON","South Thompson","CO07","Coho",3,"Threatened",677,-9,11442,2022,"Not at risk"
"Fraser","INTERIOR FRASER COHO SALMON","North Thompson","CO08","Coho",3,"Threatened",579,-12,19177,2022,"Not at risk"
"Van. Isl. Main. Inl.","STRAIT OF GEORGIA COHO SALMON","Georgia Strait Mainland","CO09","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","STRAIT OF GEORGIA COHO SALMON","Howe Sound-Burrard Inlet","CO10","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","STRAIT OF GEORGIA COHO SALMON","ECVI-Georgia Strait","CO11","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON","South Coastal Streams","CO12","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON","Homathko-Klinaklini","CO13","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON","ECVI-Johnstone Strait-S Fjords","CO14","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI COHO SALMON","West VI","CO15","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","WCVI COHO SALMON","Juan de Fuca-Pachena","CO16","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET COHO SALMON","Northwest VI","CO17","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii","HAIDA GWAII COHO SALMON","West","CO18","Coho",3,"Not assessed",-76,-12,13088,2020,"Endangered"
"Haida Gwaii","HAIDA GWAII COHO SALMON","North","CO19","Coho",3,"Not assessed",-25,-13,53347,2019,"Special concern"
"Haida Gwaii","HAIDA GWAII COHO SALMON","East","CO20","Coho",3,"Not assessed",-76,-6,13755,2021,"Endangered"
"Central Coast","CENTRAL COAST COHO SALMON","Rivers/Smith","CO21","Coho",3,"Not assessed",169,17,11608,2014,"Not at risk"
"Central Coast","CENTRAL COAST COHO SALMON","Bella Coola/Dean ","CO22","Coho",3,"Not assessed",-58,-10,28913,2021,"Endangered"
"Central Coast","CENTRAL COAST COHO SALMON","Hecate Strait Mainland","CO23","Coho",3,"Not assessed",-57,-20,65043,2021,"Endangered"
"Central Coast","CENTRAL COAST COHO SALMON","Northern Coastal Streams","CO24","Coho",3,"Not assessed",-26,-1,287624,2021,"Special concern"
"Skeena","NASS COHO SALMON","Skeena Estuary","CO25","Coho",3,"Not assessed",33,-22,4127,2014,"Not at risk"
"Skeena","SKEENA COHO SALMON","Lower Skeena","CO26","Coho",3,"Not assessed",-34,-19,65139,2017,"Threatened"
"Skeena","SKEENA COHO SALMON","Middle Skeena","CO27","Coho",3,"Not assessed",-5,12,209016,2017,"Not at risk"
"Skeena","SKEENA COHO SALMON","Upper Skeena","CO28","Coho",3,"Not assessed",-28,9,14653,2017,"Special concern"
"Nass","NASS COHO SALMON","Portland Canal","CO29","Coho",3,"Not assessed",137,18,162077,2022,"Not at risk"
"Nass","NASS COHO SALMON","Upper Nass","CO30","Coho",3,"Not assessed",18,33,129357,2022,"Not at risk"
"Yukon","PORCUPINE COHO SALMON","Porcupine","CO37","Coho",3,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"Georgia Strait Mainland","PE01","Pink",2,"Not assessed",-98,21,152684,2018,"Endangered"
"Van. Isl. Main. Inl.",NA,"East VI - Georgia Strait","PE02","Pink",2,"Not assessed",-98,21,152684,2018,"Endangered"
"Van. Isl. Main. Inl.",NA,"Southern Coastal Streams","PE03","Pink",2,"Not assessed",-94,9,575090,2018,"Endangered"
"Van. Isl. Main. Inl.",NA,"Homathko - Klinaklini","PE04","Pink",2,"Not assessed",-94,9,575090,2018,"Endangered"
"Van. Isl. Main. Inl.",NA,"ECVI-Johnstone Strait-S Fjords","PE05","Pink",2,"Not assessed",-94,9,575090,2018,"Endangered"
"Van. Isl. Main. Inl.",NA,"West VI","PE06","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"Northwest VI","PE07","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii",NA,"West","PE08","Pink",2,"Not assessed",271,-15,16773,2020,"Not at risk"
"Haida Gwaii",NA,"North","PE09","Pink",2,"Not assessed",557,6,1376401,2020,"Not at risk"
"Haida Gwaii",NA,"East","PE10","Pink",2,"Not assessed",665,1,1041460,2020,"Not at risk"
"Central Coast",NA,"Rivers/Smith Inlets","PE11","Pink",2,"Not assessed",123,-6,449484,2020,"Not at risk"
"Central Coast",NA,"Bella Coola/Dean ","PE12","Pink",2,"Not assessed",185,1,11874814,2020,"Not at risk"
"Central Coast",NA,"Hecate Strait Mainland","PE13","Pink",2,"Not assessed",123,-6,449484,2020,"Not at risk"
"Central Coast",NA,"Northern Coastal Streams","PE14","Pink",2,"Not assessed",185,1,11874814,2020,"Not at risk"
"Skeena",NA,"Skeena Estuary","PE15","Pink",2,"Not assessed",7041,2,6047266,2022,"Not at risk"
"Skeena",NA,"Lower Skeena","PE16","Pink",2,"Not assessed",7041,2,6047266,2022,"Not at risk"
"Skeena",NA,"Middle Skeena","PE17","Pink",2,"Not assessed",6,1,160195,2016,"Not at risk"
"Skeena",NA,"Upper Skeena","PE18","Pink",2,"Not assessed",6,1,160195,2016,"Not at risk"
"Skeena",NA,"Portland Canal","PE19","Pink",2,"Not assessed",7041,2,6047266,2022,"Not at risk"
"Nass",NA,"Upper Nass","PE20","Pink",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser",NA,"Lower Fraser","PO01","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Fraser",NA,"Lillooet","PO02","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Fraser",NA,"Fraser Canyon","PO03","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Fraser",NA,"Middle Fraser","PO04","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Fraser",NA,"Upper Fraser","PO05","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Fraser",NA,"Lower Thompson","PO06","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Fraser",NA,"South Thompson","PO07","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Fraser",NA,"North Thompson","PO08","Pink",2,"Not assessed",23,23,9542025,2023,"Not at risk"
"Van. Isl. Main. Inl.",NA,"Georgia Strait Mainland","PO09","Pink",2,"Not assessed",-74,17,1296234,2019,"Endangered"
"Van. Isl. Main. Inl.",NA,"ECVI-Georgia Strait","PO10","Pink",2,"Not assessed",-87,9,108129,2019,"Endangered"
"Van. Isl. Main. Inl.",NA,"Southern Coastal Streams","PO11","Pink",2,"Not assessed",-100,-3,8383,2019,"Endangered"
"Central Coast",NA,"Homathko/Klinaklini","PO12","Pink",2,"Not assessed",-97,19,461427,2021,"Endangered"
"Van. Isl. Main. Inl.",NA,"West VI","PO14","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"Northwest VI","PO15","Pink",2,"Not assessed",-43,1,8272,2019,"Threatened"
"Haida Gwaii",NA,"West","PO16","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii",NA,"North","PO17","Pink",2,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii",NA,"East","PO18","Pink",2,"Not assessed",-45,-6,38954,2021,"Threatened"
"Central Coast",NA,"Rivers/Smith Inlets","PO19","Pink",2,"Not assessed",-97,19,461427,2021,"Endangered"
"Central Coast",NA,"Bella Coola/Dean ","PO20","Pink",2,"Not assessed",-97,19,461427,2021,"Endangered"
"Central Coast",NA,"Hecate Strait Mainland","PO21","Pink",2,"Not assessed",384,3,614739,2021,"Not at risk"
"Central Coast",NA,"Northern Coastal Streams","PO22","Pink",2,"Not assessed",-30,12,1295152,2021,"Threatened"
"Skeena",NA,"Skeena Estuary","PO23","Pink",2,"Not assessed",-92,17,104406,2017,"Endangered"
"Skeena",NA,"Lower Skeena","PO24","Pink",2,"Not assessed",-97,-1,176055,2017,"Endangered"
"Skeena",NA,"Middle Skeena","PO25","Pink",2,"Not assessed",82,6,853053,2017,"Not at risk"
"Skeena",NA,"Upper Skeena","PO26","Pink",2,"Not assessed",82,6,853053,2017,"Not at risk"
"Nass",NA,"Portland Canal","PO27","Pink",2,"Not assessed",-52,23,900891,2021,"Endangered"
"Nass",NA,"Upper Nass","PO28","Pink",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Anderson-Seton-ES ","SE001","Sockeye-Lake",4,"Not at risk",-89,15,3613,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Bowron-ES ","SE002","Sockeye-Lake",4,"Endangered",-40,-42,3128,2022,"Threatened"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Chilko-ES population / Chilko-S ","SE003","Sockeye-Lake",4,"Not at risk",743,1085,20128,1989,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - SUMMER","Chilko-ES population / Chilko-S ","SE004","Sockeye-Lake",4,"Not at risk",-54,29,881315,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Chilliwack-ES ","SE005","Sockeye-Lake",4,"Not at risk",-83,192,3591,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - LATE","Cultus-L ","SE006","Sockeye-Lake",4,"Endangered",-96,-41,1041,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - SUMMER","Francois-Fraser-S ","SE007","Sockeye-Lake",4,"Special Concern",-41,9,125933,2022,"Threatened"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Nadina-Francois-ES ","SE008","Sockeye-Lake",4,"Not at risk",326,48,333428,2022,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - LATE","Harrison (D/S)-L ","SE009","Sockeye-Lake",4,"Special Concern",-97,85,1206,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - LATE","Harrison (U/S)-L ","SE010","Sockeye-Lake",4,"Endangered",-3,-49,97140,2022,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - SUMMER","Kamloops-ES ","SE011","Sockeye-Lake",4,"Special Concern",-87,68,9621,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - LATE","Lillooet-Harrison-L ","SE012","Sockeye-Lake",4,"Special Concern",-83,-28,131759,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Nahatlatch-ES ","SE013","Sockeye-Lake",4,"Special Concern",-26,7,5031,2022,"Special concern"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","North Barriere-ES ","SE014","Sockeye-Lake",4,"Extinct",-79,-22,5319,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Pitt-ES ","SE015","Sockeye-Lake",4,"Not at risk",-88,18,29689,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - SUMMER","Quesnel-S ","SE016","Sockeye-Lake",4,"Endangered",337,8,827355,2022,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - LATE","Seton-L ","SE017","Sockeye-Lake",4,"Endangered",373,-45,18367,2022,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - LATE","Shuswap Complex-L ","SE018","Sockeye-Lake",4,"Not at risk",97,-48,712582,2022,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Shuswap-ES ","SE019","Sockeye-Lake",4,"Not at risk",-20,-11,165212,2022,"Special concern"
"Fraser","FRASER SOCKEYE SALMON -EARLY STUART","Takla-Trembleur-EStu ","SE020","Sockeye-Lake",4,"Endangered",-80,-54,24929,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - SUMMER","Takla-Trembleur-Stuart-S ","SE021","Sockeye-Lake",4,"Endangered",152,16,87947,2022,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - EARLY SUMMER","Taseko-ES ","SE022","Sockeye-Lake",4,"Endangered",100,-50,1913,2022,"Not at risk"
"Fraser","FRASER SOCKEYE SALMON - SUMMER","Widgeon (River-Type) ","SE023","Sockeye-River",4,"Threatened",-88,-25,223,2022,"Endangered"
"Fraser","FRASER SOCKEYE SALMON - SUMMER","Harrison (River-Type) ","SE024","Sockeye-River",4,"Not at risk",-96,165,31964,2022,"Endangered"
"Van. Isl. Main. Inl.",NA,"South Coast-Georgia Strait","SE025","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"ECVI-Georgia Strait","SE026","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"South Coast-S Fjords","SE027","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"ECVI-Southern Fjords","SE028","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"Hamothko-Klinaklini-S Fjords","SE029","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"West VI","SE030","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.",NA,"Northwest VI","SE031","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii",NA,"West","SE032","Sockeye-River",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii",NA,"North","SE033","Sockeye-River",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Haida Gwaii",NA,"East","SE034","Sockeye-River",NA,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast",NA,"Rivers/Smith Inlets","SE035","Sockeye-River",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast",NA,"Bella Coola/Dean ","SE036","Sockeye-Lake",4,"Not assessed",-77,-50,1077,2021,"Endangered"
"Central Coast",NA,"Northern Coastal Streams","SE037","Sockeye-Lake",4,"Not assessed",-77,-50,1077,2021,"Endangered"
"Central Coast",NA,"Hecate Lowlands","SE038","Sockeye-River",4,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena",NA,"Lower Skeena River","SE039","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena",NA,"Middle Skeena River","SE040","Sockeye-River",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena",NA,"Upper Skeena River","SE041","Sockeye-River",5,"Not assessed",1112,218,335,2019,"Threatened"
"Nass",NA,"Lower Nass-Portland","SE042","Sockeye-River",4,"Not assessed",-8,116,20273,2022,"Not at risk"
"Nass",NA,"Upper Nass River","SE043","Sockeye-River",4,"Not assessed",1225,-19,208,2022,"Endangered"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Sakinaw","SE051","Sockeye-Lake",5,"Endangered",360,-79,3,2018,"Endangered"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Tzoonie","SE052","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Fulmore","SE053","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Heydon","SE054","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Kakweiken","SE055","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Loose","SE056","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Mackenzie","SE057","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Phillips","SE058","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Van. Isl. Main. Inl.","ECVI/MAINLAND SOCKEYE SALMON","Ida/Bonanza","SE059","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
