"region_full","SMU","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Bloomfield","SE112","Sockeye-Lake",5,"Not assessed",-8,-10,810,2021,"Threatened"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Bolton","SE113","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Bonilla","SE114","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast",NA,"Tuwartz","SE115","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Fannie","SE116","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Curtis","SE117","Sockeye-Lake",5,"Not assessed",-37,-35,5104,2015,"Threatened"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Devon","SE118","Sockeye-Lake",5,"Not assessed",-64,-7,2180,2017,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Elsie/Hoy","SE119","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","End Hill","SE120","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Freeda/Brodie","SE121","Sockeye-Lake",5,"Not assessed",-64,-7,600,2020,"Endangered"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Higgins Lagoon","SE122","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Kdelmashan","SE123","Sockeye-Lake",5,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST SOCKEYE SALMON","Keesha","SE124","Sockeye-Lake",5,"Not assessed",-78,-7,1600,2017,"Endangered"
