region_full,DU_name_short,du_number,species,gen_length,per_change_recent,recent_abundance,last_year_monitored,prob_designation_recent,include_in_status_report? ,notes
Skeena,Alastair,SE149,Sockeye-Lake,6,-88,574,2023,Endangered,yes,
Skeena,Asitika,SE166,Sockeye-Lake,5,-80,192,2023,Endangered,yes,long-term stable/increasing trends in spawner abundance
Skeena,Babine-early,SE158-early,Sockeye-Lake,5,-52,10963,2023,Endangered,yes,"COSEWIC DU report combines with Babine mid timing CU, but DFO status assessments separate so have kept separate for now"
Skeena,Babine-late,SE164,Sockeye-Lake,5,-62,42969,2023,Endangered,yes,includes fish thet spawn in Tahlo/Morisson DU
Skeena,Babine-mid,SE158-mid,Sockeye-Lake,5,-74,1894,2023,Endangered,yes,"COSEWIC DU report combines with Babine early timing CU, but DFO status assessments separate so have kept separate for now"
Skeena,Bear,SE168,Sockeye-Lake,5,-73,1170,2023,Endangered,yes,"DFO status assessments combine this DU with Azuklotz DU, suggest both be considered"
Skeena,Kitwancool,SE160,Sockeye-Lake,5,-95,1188,2023,Endangered,yes,
Skeena,Lakelse,SE155,Sockeye-Lake,5,-58,19257,2023,Endangered,yes,
Skeena,Motase,SE173,Sockeye-Lake,5,-85,22,2023,Endangered,yes,
Skeena,Prudhomme,SE137,Sockeye-Lake,5,-89,1000,2019,Endangered,yes,
Skeena,Shawatlan,SE141,Sockeye-Lake,5,-77,3400,2015,Endangered,yes,
Skeena,Azuklotz,SE167,Sockeye-Lake,5,-15,2204,2023,Special concern,yes,"DFO status assessments combine this DU with Bear DU, suggest both be considered"
Skeena,Johnston,SE153,Sockeye-Lake,5,-99,400,2023,Endangered,,"spawner estimates are highly uncertian/questionable; lake-type spawners (in a turbid and very steep sided lake), and the spawner numbers do not agree with recent hydroacoustic estimates that suggest that the lake rearing habitat is actually over capacity and the population is quite healthy"
Nass,Damdochax/Wiminasik,SE179,Sockeye-Lake,5,600,11315,2023,Not at risk,,
Nass,Fred Wright,SE180,Sockeye-Lake,5,48,8490,2023,Not at risk,,
Nass,Lower Nass-Portland,SE042,Sockeye-River,4,-9,9840,2023,Not at risk,,
Nass,Meziadin,SE182,Sockeye-Lake,5,56,752227,2022,Not at risk,,
Skeena,Morice,SE162,Sockeye-Lake,6,105,19165,2023,Not at risk,,
Skeena,Stephens,SE163,Sockeye-Lake,5,-9,20340,2023,Not at risk,,
Skeena,Sustut,SE177,Sockeye-Lake,5,211,1951,2023,Not at risk,,
Nass,Upper Nass River,SE043,Sockeye-River,4,674,2182,2023,Not at risk,,
Skeena,Mcdonell,SE156,Sockeye-Lake,5,-24,5814,2023,Special concern,,
Skeena,Damshilgwit,SE169,Sockeye-Lake,5,-15,323,2023,Threatened,,"small population size, but generally stable"
Skeena,Kitsumkalum,SE154,Sockeye-Lake,5,-46,20704,2023,Threatened,,
Skeena,Upper Skeena River,SE041,Sockeye-River,5,1112,335,2019,Threatened,,"small population size, but increasing trend"
