CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-19-49,SX,Prudhomme,1972,"1,000",1.35,"1,345",1,"1,345",2,2690,544,16.50%,"3,234",603,18.30%,"3,293",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1973,"1,000",1.35,"1,345",1,"1,345",2,2690,646,19.10%,"3,337",690,20.40%,"3,380",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1974,500,1.35,673,1,673,2,1345,359,20.80%,"1,704",382,22.10%,"1,727",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1975,"1,000",1.35,"1,345",1,"1,345",2,2690,413,13.20%,"3,103",429,13.80%,"3,119",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1976,700,1.35,942,1,942,2,1883,396,17.10%,"2,279",432,18.70%,"2,315",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1977,"1,500",1.35,"2,018",1,"2,018",2,4036,832,16.70%,"4,868",938,18.90%,"4,974",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1978,500,1.35,673,1,673,2,1345,283,16.90%,"1,629",328,19.60%,"1,674",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1979,"1,200",1.35,"1,614",1,"1,614",2,3228,649,16.40%,"3,877",724,18.30%,"3,952",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1980,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1981,700,1,700,1,700,2,1400,292,17.00%,"1,692",322,18.70%,"1,722",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1982,"3,425",1,"3,425",1,"3,425",2,6850,"1,642",18.90%,"8,492","1,820",21.00%,"8,670",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1983,"1,000",1,"1,000",1,"1,000",2,2000,156,7.00%,"2,156",209,9.40%,"2,209",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1984,750,1.35,"1,009",1,"1,009",2,2018,298,12.60%,"2,315",350,14.80%,"2,368",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1985,"2,500",1,"2,500",1,"2,500",2,5000,"1,132",18.20%,"6,132","1,219",19.60%,"6,219",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1986,"2,000",1.35,"2,690",1,"2,690",2,5381,"1,043",15.60%,"6,424","1,309",19.60%,"6,690",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1987,"2,500",1.35,"3,363",1,"3,363",2,6726,568,7.70%,"7,293",635,8.60%,"7,360",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1988,350,1.35,471,1,471,2,942,345,26.10%,"1,286",377,28.60%,"1,319",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1989,"2,000",1.35,"2,690",1,"2,690",2,5381,"1,070",16.20%,"6,451","1,229",18.60%,"6,609",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1990,"6,000",1,"6,000",1,"6,000",2,12000,"2,796",18.40%,"14,796","3,207",21.10%,"15,207",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1991,"3,500",1,"3,500",1,"3,500",2,7000,"1,850",20.60%,"8,850","1,974",22.00%,"8,974",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1992,"4,500",1,"4,500",1,"4,500",2,9000,"4,743",34.00%,"13,743","4,960",35.50%,"13,960",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1993,"2,000",2.69,"5,375",1,"5,375",2,10750,"4,301",28.30%,"15,051","4,438",29.20%,"15,188",2,1.86,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1994,"2,000",2.69,"5,375",1,"5,375",2,10750,"3,311",23.30%,"14,061","3,436",24.20%,"14,186",2,1.86,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1995,"1,000",2.69,"2,688",1,"2,688",2,5375,"2,120",28.10%,"7,495","2,182",28.90%,"7,557",2,1.86,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1996,400,2.69,"1,075",1,"1,075",2,2150,857,27.80%,"3,007",933,30.30%,"3,083",2,1.86,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1997,"1,500",1.59,"2,389",1,"2,389",2,4778,"3,695",42.40%,"8,473","3,935",45.20%,"8,712",2,3.14,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1998,"2,600",1,"2,600",1,"2,600",2,5200,"1,331",20.10%,"6,531","1,434",21.60%,"6,634",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1999,"2,000",1,"2,000",1,"2,000",2,4000,"1,090",20.80%,"5,090","1,254",23.90%,"5,254",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2000,"1,100",1,"1,100",1,"1,100",2,2200,779,26.10%,"2,979",790,26.40%,"2,990",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2001,900,1,900,1,900,2,1800,250,12.10%,"2,050",268,12.90%,"2,068",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2002,"2,400",1,"2,400",1,"2,400",2,4800,"1,400",22.10%,"6,200","1,537",24.30%,"6,337",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2003,"7,500",1,"7,500",1,"7,500",2,15000,"2,062",11.80%,"17,062","2,451",14.00%,"17,451",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2004,"2,900",1,"2,900",1,"2,900",2,5800,879,13.00%,"6,679",938,13.90%,"6,738",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2005,"3,500",1,"3,500",1,"3,500",2,7000,604,7.60%,"7,604",914,11.50%,"7,914",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2006,"2,200",1,"2,200",1,"2,200",2,4400,763,14.70%,"5,163",792,15.30%,"5,192",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2007,150,2.87,430,1,430,2,860,108,10.90%,968,134,13.40%,994,2,1.74,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2008,220,2.87,631,1,631,2,1262,131,9.30%,"1,393",138,9.80%,"1,400",2,1.74,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2009,"3,000",1,"3,000",1,"3,000",2,6000,477,7.30%,"6,477",532,8.10%,"6,532",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2010,"2,900",1,"2,900",1,"2,900",2,5800,503,7.90%,"6,303",570,9.00%,"6,370",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2011,"2,450",1,"2,450",1,"2,450",2,4900,591,10.60%,"5,491",676,12.10%,"5,576",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2012,500,1.69,847,1,847,2,1694,179,9.40%,"1,873",213,11.20%,"1,907",2,2.95,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2013,905,1,905,1,905,2,1810,110,5.70%,"1,920",124,6.40%,"1,934",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2014,"1,100",1.69,"1,863",1,"1,863",2,3726,255,6.30%,"3,982",296,7.40%,"4,022",2,2.95,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2015,"1,810",1,"1,810",1,"1,810",2,3620,167,4.30%,"3,787",218,5.70%,"3,838",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2016,103,1.69,174,1,174,2,349,34,8.60%,383,48,12.00%,397,2,2.95,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2017,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2018,84,1,84,1,84,2,168,6,3.60%,174,7,3.90%,175,2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,2019,500,1,500,1,500,2,1000,67,6.20%,"1,067",83,7.60%,"1,083",2,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1954,,,,,,,,,,,,,,,,,,,,4
SX_L-19-54,SX,Shawatlan,1955,,,,,,,,,,,,,,,,,,,,4
SX_L-19-54,SX,Shawatlan,1956,,,,,,,,,,,,,,,,,,,,4
SX_L-19-54,SX,Shawatlan,1957,,,,,,,,,,,,,,,,,,,,4
SX_L-19-54,SX,Shawatlan,1958,,,,,,,,,,,,,,,,,,,,4
SX_L-19-54,SX,Shawatlan,1959,,,,,,,,,,,,,,,,,,,,4
SX_L-19-54,SX,Shawatlan,1960,"3,500",1,"3,500",1,"3,500",2,7000,"1,134",13.40%,"8,134","1,475",17.40%,"8,475",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1961,"3,500",1,"3,500",1,"3,500",2,7000,"1,328",15.90%,"8,328","1,378",16.40%,"8,378",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1962,"3,500",1,"3,500",1,"3,500",2,7000,"1,341",15.70%,"8,341","1,534",18.00%,"8,534",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1963,"3,500",1,"3,500",1,"3,500",2,7000,648,8.20%,"7,648",868,11.00%,"7,868",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1964,"3,500",1,"3,500",1,"3,500",2,7000,"1,267",15.00%,"8,267","1,473",17.40%,"8,473",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1965,"3,500",1,"3,500",1,"3,500",2,7000,893,10.90%,"7,893","1,213",14.80%,"8,213",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1966,"2,000",1,"2,000",1,"2,000",2,4000,973,19.30%,"4,973","1,030",20.50%,"5,030",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1967,"3,500",1,"3,500",1,"3,500",2,7000,"1,728",19.10%,"8,728","2,031",22.50%,"9,031",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1968,"1,500",1,"1,500",1,"1,500",2,3000,696,18.60%,"3,696",745,19.90%,"3,745",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1969,"1,500",1,"1,500",1,"1,500",2,3000,530,14.80%,"3,530",586,16.30%,"3,586",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1970,"1,500",1,"1,500",1,"1,500",2,3000,566,15.80%,"3,566",592,16.50%,"3,592",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1971,"2,000",1,"2,000",1,"2,000",2,4000,840,17.30%,"4,840",870,17.90%,"4,870",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1972,"1,000",1,"1,000",1,"1,000",2,2000,404,16.50%,"2,404",448,18.30%,"2,448",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1973,800,1,800,1,800,2,1600,384,19.10%,"1,984",410,20.40%,"2,010",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1974,600,1,600,1,600,2,1200,320,20.80%,"1,520",341,22.10%,"1,541",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1975,"1,000",1,"1,000",1,"1,000",2,2000,307,13.20%,"2,307",319,13.80%,"2,319",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1976,700,1,700,1,700,2,1400,294,17.10%,"1,694",321,18.70%,"1,721",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1977,200,1,200,1,200,2,400,83,16.70%,483,93,18.90%,493,3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1978,400,1,400,1,400,2,800,169,16.90%,969,195,19.60%,995,3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1979,250,1,250,1,250,2,500,101,16.40%,601,112,18.30%,612,3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1980,"1,400",1,"1,400",1,"1,400",2,2800,481,13.90%,"3,281",672,19.30%,"3,472",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1981,800,1,800,1,800,2,1600,334,17.00%,"1,934",368,18.70%,"1,968",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1982,"6,000",1,"6,000",1,"6,000",2,12000,"2,876",18.90%,"14,876","3,189",21.00%,"15,189",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1983,275,1,275,1,275,2,550,43,7.00%,593,57,9.40%,607,3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1984,"3,300",1,"3,300",1,"3,300",2,6600,973,12.60%,"7,573","1,145",14.80%,"7,745",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1985,"1,500",1,"1,500",1,"1,500",2,3000,679,18.20%,"3,679",732,19.60%,"3,732",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1986,"3,000",1,"3,000",1,"3,000",2,6000,"1,163",15.60%,"7,163","1,460",19.60%,"7,460",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1987,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1988,"4,000",1,"4,000",1,"4,000",2,8000,"2,928",26.10%,"10,928","3,205",28.60%,"11,205",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1989,"3,000",1,"3,000",1,"3,000",2,6000,"1,193",16.20%,"7,193","1,370",18.60%,"7,370",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1990,"3,000",1,"3,000",1,"3,000",2,6000,"1,398",18.40%,"7,398","1,603",21.10%,"7,603",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1991,"1,700",1,"1,700",1,"1,700",2,3400,898,20.60%,"4,298",959,22.00%,"4,359",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1992,"2,000",1,"2,000",1,"2,000",2,4000,"2,108",34.00%,"6,108","2,204",35.50%,"6,204",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1993,"1,000",1,"1,000",1,"1,000",2,2000,800,28.30%,"2,800",826,29.20%,"2,826",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1994,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1995,"1,200",1,"1,200",1,"1,200",2,2400,947,28.10%,"3,347",974,28.90%,"3,374",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1996,600,1,600,1,600,2,1200,478,27.80%,"1,678",521,30.30%,"1,721",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1997,"2,500",1,"2,500",1,"2,500",2,5000,"3,867",42.40%,"8,867","4,118",45.20%,"9,118",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1998,800,1,800,1,800,2,1600,410,20.10%,"2,010",441,21.60%,"2,041",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,1999,"2,500",1,"2,500",1,"2,500",2,5000,"1,363",20.80%,"6,363","1,567",23.90%,"6,567",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2000,"1,200",1,"1,200",1,"1,200",2,2400,850,26.10%,"3,250",862,26.40%,"3,262",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2001,"2,000",1,"2,000",1,"2,000",2,4000,555,12.10%,"4,555",595,12.90%,"4,595",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2002,"2,200",1,"2,200",1,"2,200",2,4400,"1,283",22.10%,"5,683","1,409",24.30%,"5,809",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2003,"5,000",1,"5,000",1,"5,000",2,10000,"1,375",11.80%,"11,375","1,634",14.00%,"11,634",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2004,"4,500",1,"4,500",1,"4,500",2,9000,"1,364",13.00%,"10,364","1,456",13.90%,"10,456",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2005,"5,000",1,"5,000",1,"5,000",2,10000,862,7.60%,"10,862","1,305",11.50%,"11,305",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2006,"2,300",1,"2,300",1,"2,300",2,4600,797,14.70%,"5,397",828,15.30%,"5,428",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2007,"2,500",1,"2,500",1,"2,500",2,5000,628,10.90%,"5,628",777,13.40%,"5,777",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2008,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2009,"1,000",1,"1,000",1,"1,000",2,2000,159,7.30%,"2,159",177,8.10%,"2,177",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2010,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2011,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2012,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2013,510,1,510,1,510,2,1020,62,5.70%,"1,082",70,6.40%,"1,090",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2014,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2015,"1,700",1,"1,700",1,"1,700",2,3400,157,4.30%,"3,557",204,5.70%,"3,604",3,5,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2016,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2017,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2018,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-54,SX,Shawatlan,2019,,,,,,,,,,,,,,,,,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1954,,,,,,,,,,,,,,,,,,,,4
SX_L-20-01,SX,Alastair,1955,,,,,,,,,,,,,,,,,,,,4
SX_L-20-01,SX,Alastair,1956,,,,,,,,,,,,,,,,,,,,4
SX_L-20-01,SX,Alastair,1957,,,,,,,,,,,,,,,,,,,,4
SX_L-20-01,SX,Alastair,1958,,,,,,,,,,,,,,,,,,,,4
SX_L-20-01,SX,Alastair,1959,,,,,,,,,,,,,,,,,,,,4
SX_L-20-01,SX,Alastair,1960,"3,500",1,"3,500",1.11,"3,877",2,7755,"2,831",24.80%,"10,586","3,684",32.20%,"11,439",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1961,"13,250",1,"13,250",1.11,"14,679",2,29358,"12,379",29.30%,"41,737","12,841",30.40%,"42,199",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1962,"9,945",1,"9,945",1.11,"11,017",2,22035,"9,599",29.10%,"31,634","10,978",33.30%,"33,013",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1963,"9,000",1,"9,000",1.11,"9,971",2,19941,"3,816",15.20%,"23,757","5,113",20.40%,"25,054",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1964,"1,900",1,"1,900",1.11,"2,105",2,4210,"1,717",27.70%,"5,927","1,996",32.20%,"6,206",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1965,"7,900",1,"7,900",1.11,"8,752",2,17504,"4,847",20.10%,"22,351","6,581",27.30%,"24,085",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1966,"8,400",1,"8,400",1.11,"9,306",2,18612,"10,723",35.80%,"29,334","11,357",37.90%,"29,969",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1967,"12,500",1,"12,500",1.11,"13,848",2,27696,"16,792",35.40%,"44,488","19,733",41.60%,"47,429",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1968,"15,000",1,"15,000",1.11,"16,618",2,33235,"18,094",34.40%,"51,330","19,368",36.80%,"52,603",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
SX_L-20-01,SX,Alastair,1969,"3,000",1,"3,000",1.11,"3,324",2,6647,"2,607",27.40%,"9,254","2,883",30.30%,"9,530",2,5,4.51,Alastair,[LOOKUP CU],Sockeye Model,4
