CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-19-49,SX,Prudhomme,1954,,,,,,,,,,,,,,,,,,,,4
SX_L-19-49,SX,Prudhomme,1955,,,,,,,,,,,,,,,,,,,,4
SX_L-19-49,SX,Prudhomme,1956,,,,,,,,,,,,,,,,,,,,4
SX_L-19-49,SX,Prudhomme,1957,,,,,,,,,,,,,,,,,,,,4
SX_L-19-49,SX,Prudhomme,1958,,,,,,,,,,,,,,,,,,,,4
SX_L-19-49,SX,Prudhomme,1959,,,,,,,,,,,,,,,,,,,,4
SX_L-19-49,SX,Prudhomme,1960,"3,500",1.35,"4,708",1,"4,708",2,9416,"1,525",13.40%,"10,941","1,984",17.40%,"11,400",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1961,"7,500",1.35,"10,089",1,"10,089",2,20178,"3,829",15.90%,"24,006","3,971",16.40%,"24,149",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1962,"3,500",1.35,"4,708",1,"4,708",2,9416,"1,804",15.70%,"11,220","2,063",18.00%,"11,479",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1963,"7,500",1.35,"10,089",1,"10,089",2,20178,"1,867",8.20%,"22,045","2,501",11.00%,"22,679",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1964,"3,500",1.35,"4,708",1,"4,708",2,9416,"1,704",15.00%,"11,121","1,981",17.40%,"11,397",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1965,"3,500",1.35,"4,708",1,"4,708",2,9416,"1,202",10.90%,"10,618","1,631",14.80%,"11,048",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1966,"1,500",1.35,"2,018",1,"2,018",2,4036,981,19.30%,"5,017","1,039",20.50%,"5,075",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1967,"4,500",1.35,"6,053",1,"6,053",2,12107,"2,988",19.10%,"15,095","3,512",22.50%,"15,618",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1968,"3,500",1.35,"4,708",1,"4,708",2,9416,"2,185",18.60%,"11,602","2,339",19.90%,"11,755",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1969,"3,500",1.35,"4,708",1,"4,708",2,9416,"1,664",14.80%,"11,081","1,840",16.30%,"11,257",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1970,"3,500",1.35,"4,708",1,"4,708",2,9416,"1,778",15.80%,"11,194","1,857",16.50%,"11,273",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
SX_L-19-49,SX,Prudhomme,1971,"2,000",1.35,"2,690",1,"2,690",2,5381,"1,130",17.30%,"6,511","1,170",17.90%,"6,551",2,3.72,5,Lakelse,[LOOKUP CU],Sockeye Model,4
