DU,DU_name,CU,,,,,,
149,Alastair,L-20-01,,,,,,
150,Aldrich,L-20-02,,,,,,
151,Dennis,L-20-03,,,,,,
152,Ecstall/Lower,L-20-04,,,,,,
153,Johnston,L-20-05,,,,,,
154,Kitsumkalum,L-20-06,,,,,,
155,Lakelse,L-20-07,,,,,,
156,Mcdonell,L-20-08,,,,,,
157,Atna,L-21-01,,,,,,
158,Babine-Early-Wild,L-21-02-EW,,,,,,
158,Babine-Mid-Wild,L-21-02-MW,,,,,,
158,Babine-Late-Wild,L-21-02-LW,,,,,,
158,Babine,L-21-02,,,,,,
159,Bulkley,L-21-03,,,,,,
160,Kitwancool,L-21-05,,,,,,
161,Maxan,L-21-06,,,,,,
162,Morice,L-21-07,,,,,,
163,Stephens,L-21-09,,,,,,
164,Tahlo/ Morrison,L-21-11,,,,,,
165,Footsore/ Hodder,L-21-12,,,,,,
166,Asitika,L-22-01,,,,,,
167,Azuklotz,L-22-02,,,,,,
168,Bear,L-22-03,,,,,,
169,Damshilgwit,L-22-04,,,,,,
170,Johanson,L-22-05,,,,,,
171,Kluatantan,L-22-06,,,,,,
172,Kluayaz,L-22-07,,,,,,
173,Motase,L-22-08,,,,,,
174,Sicintine,L-22-09,,,,,,
175,Slamgeesh,L-22-10,,,,,,
176,Spawning,L-22-11,,,,,,
177,Sustut,L-22-12,,,,,,
178,Bowser,L-24-01,,,,,,
179,Damdochax/ Wiminasik,L-24-02,,,,,,
180,Fred Wright,L-24-03,,,,,,
181,Kwinageese,L-24-04,,,,,,
182,Meziadin,L-24-05,,,,,,
183,Oweegee,L-24-06,,,,,,
39,Lower Skeena River,R18,,,,,,
40,Middle Skeena River,R18,,,,,,
41,Upper Skeena River,R19,,,,,,
42,Lower Nass-Portland,R20,,,,,,
43,Upper Nass River,R21,,,,,,
