,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,500,Chum,1950,NA,18200,NA,CC
2,501,Chum,1950,NA,17750,NA,CC
3,502,Chum,1950,NA,35000,NA,CC
4,503,Chum,1950,NA,268157,NA,CC
5,504,Chum,1950,NA,55450,NA,CC
6,505,Chum,1950,NA,75000,NA,CC
7,506,Chum,1950,NA,203000,NA,CC
8,507,Chum,1950,NA,176725,NA,CC
9,508,Chum,1950,NA,66175,NA,CC
10,509,Chinook,1950,NA,NA,NA,CC
11,510,Chinook,1950,NA,400,NA,CC
12,511,Chinook,1950,NA,1500,NA,CC
13,512,Chinook,1950,NA,15000,NA,CC
14,513,Chinook,1950,NA,750,NA,CC
15,514,Chinook,1950,NA,4225,NA,CC
16,515,Chinook,1950,NA,13700,NA,CC
17,516,Coho,1950,NA,3000,NA,CC
18,517,Coho,1950,NA,10200,NA,CC
19,518,Coho,1950,NA,38800,NA,CC
20,519,Coho,1950,NA,1525,NA,CC
21,520,Coho,1950,NA,72592,NA,CC
22,521,Coho,1950,NA,NA,NA,CC
23,522,Coho,1950,NA,3075,NA,CC
24,523,Coho,1950,NA,42100,NA,CC
25,524,Lake Sockeye,1950,NA,105000,NA,CC
26,525,Lake Sockeye,1950,NA,295000,NA,CC
27,526,Lake Sockeye,1950,NA,86500,NA,CC
28,527,Lake Sockeye,1950,NA,75000,NA,CC
29,528,Lake Sockeye,1950,NA,NA,NA,CC
30,529,Lake Sockeye,1950,NA,NA,NA,CC
31,530,Lake Sockeye,1950,NA,NA,NA,CC
32,531,Lake Sockeye,1950,NA,NA,NA,CC
33,532,Lake Sockeye,1950,NA,75,NA,CC
34,533,Lake Sockeye,1950,NA,NA,NA,CC
35,534,Lake Sockeye,1950,NA,750,NA,CC
36,535,Lake Sockeye,1950,NA,NA,NA,CC
37,536,Lake Sockeye,1950,NA,7500,NA,CC
38,537,Lake Sockeye,1950,NA,3500,NA,CC
39,538,Lake Sockeye,1950,NA,75000,NA,CC
40,539,Lake Sockeye,1950,NA,NA,NA,CC
41,540,Lake Sockeye,1950,NA,1500,NA,CC
42,541,Lake Sockeye,1950,NA,1500,NA,CC
43,542,Lake Sockeye,1950,NA,NA,NA,CC
44,543,Lake Sockeye,1950,NA,2610,NA,CC
45,544,Lake Sockeye,1950,NA,750,NA,CC
46,545,Lake Sockeye,1950,NA,400,NA,CC
47,546,Lake Sockeye,1950,NA,400,NA,CC
48,547,Lake Sockeye,1950,NA,NA,NA,CC
49,548,Lake Sockeye,1950,NA,800,NA,CC
50,549,Lake Sockeye,1950,NA,1500,NA,CC
51,550,Lake Sockeye,1950,NA,2700,NA,CC
52,551,Lake Sockeye,1950,NA,1500,NA,CC
53,552,Lake Sockeye,1950,NA,350,NA,CC
54,553,Lake Sockeye,1950,NA,9800,NA,CC
55,554,Lake Sockeye,1950,NA,NA,NA,CC
56,555,Lake Sockeye,1950,NA,400,NA,CC
57,556,Lake Sockeye,1950,NA,NA,NA,CC
