cuid,cuname,cu_acronym,du_number,du_acronym,DU_name,trtc_cu,FULL_CU_IN,spp,gen_length,COSEWIC_status,ca_check_012022,
205,Ecstall,,CK41,ECST,"Ecstall, Ocean, Summer",CN_46,CK-46,Chinook,6,,,
206,Kalum-early timing,,CK43,KALUM-E,"Kalum Ð Early Timing, Stream, Spring",CN_49,CK-49,Chinook,6,,,
207,Kalum-late timing,,CK44,KALUM-L,"Kalum Ð Late Timing, Stream, Summer",CN_50,CK-50,Chinook,6,,,
210,Lower Skeena-CK,,CK42,LSK,"Lower Skeena, Stream, Summer",CN_48,CK-48,Chinook,6,,,
212,Upper Skeena-CK,,CK48,USK,"Upper Skeena River, Stream, Spring",NA,CK-56,Chinook,6,,,
217,Middle Skeena-mainstem tributaries,,CK47,MSK-M/S,"Middle Skeena-M/S Tributary, Stream, Summer",CN_54,CK-54,Chinook,6,,,
221,Upper Bulkley River,,CK45,,"Bulkley River, Stream, Spring",CN_55,CK-55,Chinook,6,,,
222,Middle Skeena-large lakes,,CK46,MSK-LKS,"Middle Skeena Ð Lakes, Stream, Summer",CN_53,CK-53,Chinook,6,,,
224,Skeena Estuary-CK,,CK40,SKEst,"Skeena Estuary, Stream, Summer",NA,CK-45,Chinook,6,,,
227,Lakelse-CK,,CK42,LSK,"Lower Skeena, Stream, Summer",NA,CK-51,Chinook,6,,,
229,Zymoetz,,CK42,LSK,"Lower Skeena, Stream, Summer",NA,CK-80,Chinook,6,,,
241,Sicintine,,,,,NA,CK-81,Chinook,6,,,
301,Okanagan,OK,CK69,OK+ORWA/Ocean/Fall,"Okanagan River, Ocean, Fall",CK-001,CK-1,Chinook,,Endangered,y,
302,CK002-Boundary Bay_FA_0.3,BB,CK1,BB+GStr/Ocean/Fall,"Southern Mainland Boundary Bay, Ocean, Fall population",CK-002,CK-2,Chinook,5,Threatened,y,
303,CK003-Lower Fraser River_FA_0.3,LFR-fall,CK2,LFR+GStr/Ocean/Fall,"Lower Fraser, Ocean, Fall population (Harrison)",CK-003,CK-3,Chinook,4,Threatened,y,
304,CK004-Lower Fraser River_SP_1.3,LFR-spring,CK3,LFR+GStr/Stream/Spring,"Lower Fraser, Stream, Spring population (Birkenhead)",CK-004,CK-4,Chinook,5,Special Concern,y,
