cuid,cuname,cu_acronym,du_number,DU_name,du_acronym,trtc_cu,FULL_CU_IN,spp,gen_length,COSEWIC_status,last_assessed,ca_check_012022
171,Alastair,ALASTAIR,SE149,Alastair,ALASTAIR,SX_L-20-01,SEL-20-01,Sockeye-Lake,6,,NA,y
172,Aldrich,ALDRICH,SE150,Aldrich,ALDRICH,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-20-2
173,Dennis,DENNIS,SE151,Dennis,DENNIS,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-20-3
174,Ecstall/Lower,ECSTALL/LOWER,SE152,Ecstall/Lower,ECSTALL/LOWER,NA,SEL-20-04,Sockeye-Lake,5,,NA,y
175,Johnston,JOHNSTON,SE153,Johnston,JOHNSTON,SX_L-20-05,SEL-20-05,Sockeye-Lake,5,,NA,y
176,Kitsumkalum,,SE154,Kitsumkalum,KALUM,SX_L-20-06,SEL-20-06,Sockeye-Lake,5,,NA,No reference in 2015 or 2021 COSEWIC SE DU reports
177,Lakelse,LAKELSE,SE155,Lakelse,LAKELSE,SX_L-20-07,SEL-20-07,Sockeye-Lake,5,,NA,y
178,Mcdonell,MCDONELL,SE156,Mcdonell,MCDONELL,SX_L-20-08,SEL-20-08,Sockeye-Lake,5,,NA,y
179,Atna,ATNA,SE157,Atna,ATNA,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-21-1
180,Babine,BABINE,SE158,Babine,BABINE,SX_L-21-02-EW,SEL-21-02-EW,Sockeye-Lake,5,,NA,y
181,Bulkley,BULKLEY,SE159,Bulkley,BULKLEY,NA,SEL-21-03,Sockeye-Lake,5,,NA,y
182,Club Lake,,,,,NA,NA,Sockeye-Lake,5,,NA,No reference to corresponding DU in 2015 or 2021 COSEWIC SE DU reports; Skeena region; displayed on PSE as Swan/Club
183,Gitanyow,,SE160,Kitwancool,KITWANCOOL,SX_L-21-05,SEL-21-05,Sockeye-Lake,5,,NA,y
184,Maxan,MAXAN,SE161,Maxan,MAXAN,NA,NA,Sockeye-Lake,5,,NA,2021 SE DU report has CU index as L-21-6
185,Morice,MORICE,SE162,Morice,MORICE,SX_L-21-07,SEL-21-07,Sockeye-Lake,6,,NA,y
186,Nilkitkwa,,,,,SX_L-21-02-LW,SEL-21-02-LW,Sockeye-Lake,5,,NA,No reference to corresponding DU in 2015 or 2021 COSEWIC SE DU reports; Skeena region; Data on PSE 
187,Stephens,STEPHENS,SE163,Stephens,STEPHENS,SX_L-21-09,SEL-21-09,Sockeye-Lake,5,,NA,y
188,Swan,,,,,SX_L-21-10,SEL-21-10,Sockeye-Lake,5,,NA,No reference to corresponding DU in 2015 or 2021 COSEWIC SE DU reports; Skeena region; displayed on PSE as Swan/Club
189,Tahlo/Morrison,,SE164,Tahlo/Morrison,TAHLO/MORRISON,SX_L-21-02-MW,SEL-21-02-MW,Sockeye-Lake,5,,NA,"Name matches but CU index from 2021 SE DU Report doesn't match the one here, there CU index = L-21-11"
190,Asitika,ASITIKA,SE166,Asitika,ASITIKA,SX_L-22-01,SEL-22-01,Sockeye-Lake,5,,NA,y
191,Azuklotz,AZUKLOTZ,SE167,Azuklotz,AZUKLOTZ,SX_L-22-02,SEL-22-02,Sockeye-Lake,5,,NA,y
192,Bear,BEAR,SE168,Bear,BEAR,SX_L-22-03,SEL-22-03,Sockeye-Lake,5,,NA,y
193,Damshilgwit,DAMSHILGWIT,SE169,Damshilgwit,DAMSHILGWIT,SX_L-22-04,SEL-22-04,Sockeye-Lake,5,,NA,y
194,Johanson,JOHANSON,SE170,Johanson,JOHANSON,NA,SEL-22-05,Sockeye-Lake,5,,NA,y
195,Kluatantan,KLUATANTAN,SE171,Kluatantan,KLUATANTAN,NA,SEL-22-06,Sockeye-Lake,5,,NA,y
196,Kluayaz,KLUAYAZ,SE172,Kluayaz,KLUAYAZ,NA,SEL-22-07,Sockeye-Lake,5,,NA,y
197,Motase,MOTASE,SE173,Motase,MOTASE,SX_L-22-08,SEL-22-08,Sockeye-Lake,5,,NA,y
198,Sicintine,SICINTINE,SE174,Sicintine,SICINTINE,NA,SEL-22-09,Sockeye-Lake,5,,NA,y
199,Slamgeesh,SLAMGEESH,SE175,Slamgeesh,SLAMGEESH,NA,SEL-22-10,Sockeye-Lake,5,,NA,y
200,Spawning,SPAWNING,SE176,Spawning,SPAWNING,NA,SEL-22-11,Sockeye-Lake,5,,NA,y
201,Sustut,SUSTUT,SE177,Sustut,SUSTUT,NA,SEL-22-12,Sockeye-Lake,5,,NA,y
202,Lower Skeena-CO,LSKNA,CO26,Lower Skeena,LSK,CO_32,CO-32,Coho,3,,NA,y
203,Babine (enhanced),,SE158,Babine,BABINE,SX_L-21-02-F,SEL-21-02-F,Sockeye-Lake,5,,NA,y
