Species,population,Year,LGL.counts,lwr95CI,upr95CI,CU,DU,CUID,Region
Chinook ,Lower Mainstem,1985,4058,2994,5100,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1986,7446,6063,8838,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1987,4647,3470,5836,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1988,1784,1199,2349,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1989,1257,381,2145,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1990,1529,733,2322,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1991,12476,10593,14436,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1992,5671,4306,7040,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1993,10986,9232,12731,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1994,14309,11966,16599,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1995,8293,6550,10061,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1996,11579,9503,13678,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1997,10748,9167,12290,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1998,1327,698,2034,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,1999,5612,4496,6709,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2000,6717,5457,7993,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2001,6989,4502,9473,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2002,8321,6585,10041,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2003,15582,12815,18273,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2004,11399,9411,13318,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2005,11414,9058,13701,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2006,14333,13571,15093,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2007,4237,2584,5908,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2008,4655,3953,5363,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2009,7719,5939,9808,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2010,3996,2518,5527,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2011,2967,2030,3921,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2012,7382,6734,8020,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2013,1091,108,2420,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2014,1890,758,2960,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2015,11973,10834,13104,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2016,15288,8445,17615,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2017,10607,10051,11164,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2018,10398,10029,10778,CK-76,CK-66,1207,Yukon
Chinook ,Lower Mainstem,2019,3162,2164,5089,CK-76,CK-66,1207,Yukon
Chinook ,White-Donjek,1985,2688,1483,3848,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1986,4007,2472,5489,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1987,3077,1895,4276,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1988,3387,2193,4558,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1989,9485,3641,14962,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1990,6620,3212,11382,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1991,4437,411,6083,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1992,3082,1871,4292,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1993,6589,5078,8115,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1994,5497,3822,7192,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1995,3480,1822,10982,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1996,9235,6987,11460,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1997,3642,2492,4817,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1998,6070,4682,7478,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,1999,2972,1899,4065,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,2000,4608,3229,5990,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,2001,4513,2660,6319,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,2002,2000,951,3049,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,2003,8315,6339,10297,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,2004,3139,1701,4587,CK-75,CK-65,1206,Yukon
Chinook ,White-Donjek,2005,7343,5028,9717,CK-75,CK-65,1206,Yukon
