FULL_CU_IN,Sites
SEL-03-xx,26
SEL-04-01,12
SEL-05-02,2
SEL-06-01,6
SEL-06-02,1
SEL-06-03,3
SEL-06-04,2
SEL-06-05,1
SEL-06-06,2
SEL-06-07,5
SEL-06-10,94
SEL-06-11,1
SEL-06-13,11
SEL-06-14,44
SEL-06-16,6
SEL-06-18,1
SEL-06-20,2
SEL-07-01,4
SEL-07-02,1
SEL-09-02,24
SEL-09-03,71
SEL-09-xx,5
SEL-10-01,10
SEL-10-03,2
SEL-11-01,1
SEL-11-02,1
SEL-11-03,1
SEL-11-04,1
SEL-11-05,1
SEL-11-06,2
SEL-11-07,1
SEL-11-09,1
SEL-11-10,1
SEL-11-11,1
SEL-11-12,2
SEL-12-01,1
SEL-12-02,1
SEL-12-03,2
SEL-12-05,1
SEL-12-07,1
SEL-13-01,1
SEL-13-02,1
SEL-13-03,1
SEL-13-04,1
SEL-13-05,2
SEL-13-06,1
SEL-13-07,3
SEL-13-09,1
SEL-13-10,1
SEL-13-11,1
SEL-13-12,1
SEL-13-13,1
SEL-13-14,6
SEL-13-15,1
SEL-13-16,1
SEL-13-17,3
SEL-13-18,3
SEL-13-19,2
SEL-13-20,1
SEL-13-21,1
SEL-13-22,1
SEL-13-23,1
SEL-13-25,1
SEL-13-26,1
SEL-13-xx,1
SEL-15-01,3
SEL-15-02,9
SEL-15-03,2
SEL-15-04,1
SEL-17-01,1
SEL-17-02,1
SEL-17-03,1
SEL-17-04,1
SEL-17-05,1
SEL-17-06,1
SEL-17-07,1
SEL-17-08,1
SEL-17-09,1
SEL-17-11,1
SEL-18-01,1
SEL-18-02,1
SEL-18-03,1
SEL-18-04,1
SEL-18-05,1
SEL-18-06,1
SEL-18-07,1
SEL-18-08,1
SEL-18-09,1
SEL-18-11,1
SEL-19-01,1
SEL-19-02,1
SEL-19-03,1
SEL-19-04,1
SEL-19-05,1
SEL-19-06,1
SEL-19-07,1
SEL-19-08,1
SEL-19-09,1
SEL-19-10,2
SEL-19-11,1
SEL-19-12,1
SEL-19-13,1
SEL-19-14,1
SEL-19-15,1
SEL-19-16,1
SEL-19-17,1
SEL-19-18,1
SEL-19-19,1
SEL-19-20,1
SEL-19-21,1
SEL-19-22,1
SEL-19-23,1
SEL-19-24,1
SEL-19-25,1
SEL-19-26,1
SEL-19-27,1
SEL-19-28,1
SEL-19-29,1
SEL-19-30,1
SEL-19-31,1
SEL-19-32,1
SEL-19-33,1
SEL-19-34,1
SEL-19-35,1
SEL-19-36,1
SEL-19-37,1
SEL-19-38,1
SEL-19-39,1
SEL-19-40,1
SEL-19-41,1
SEL-19-42,1
SEL-19-43,1
SEL-19-44,1
SEL-19-45,1
SEL-19-46,1
SEL-19-47,1
SEL-19-48,1
SEL-19-49,3
SEL-19-50,1
SEL-19-51,1
SEL-19-52,1
SEL-19-53,1
SEL-19-54,1
SEL-19-55,1
SEL-19-56,1
SEL-19-57,1
SEL-19-58,1
SEL-19-59,1
SEL-19-60,1
SEL-19-61,1
SEL-19-62,1
SEL-19-63,1
SEL-19-64,1
SEL-19-65,1
SEL-19-66,1
SEL-19-67,1
SEL-19-68,1
SEL-19-69,1
SEL-19-70,1
SEL-19-72,1
SEL-20-01,4
SEL-20-04,1
SEL-20-05,2
SEL-20-06,8
SEL-20-07,10
SEL-20-08,1
SEL-21-02,34
SEL-21-03,1
SEL-21-05,2
SEL-21-07,4
SEL-21-09,9
SEL-21-11,2
SEL-21-12,3
SEL-21-13,1
SEL-22-01,1
SEL-22-02,1
SEL-22-03,3
SEL-22-04,1
SEL-22-05,1
SEL-22-06,1
SEL-22-07,1
SEL-22-08,1
SEL-22-09,1
SEL-22-10,2
SEL-22-11,1
SEL-22-12,1
SEL-23-01,1
SEL-23-02,1
SEL-24-01,1
SEL-24-02,1
SEL-24-03,1
SEL-24-05,1
SEL-24-06,1
SEL-26-01,1
SEL-26-02,1
SEL-26-03,1
SEL-28-01,1
SEL-28-02,1
SEL-28-03,1
SEL-28-05,1
SEL-30-02,1
SEL-30-03,1
SER-02,2
SER-03,1
SER-05,6
SER-06,5
SER-08,48
SER-09,30
SER-10,105
SER-11,14
SER-12,10
SER-13,14
SER-14,25
SER-15,2
SER-16,94
SER-17,44
SER-18,22
SER-19,1
SER-20,17
SER-21,3
SER-22,13
SER-24,3
