FULL_CU_IN,Sites
CK-1,1
CK-10,25
CK-11,18
CK-12,43
CK-13,10
CK-14,4
CK-15,4
CK-16,4
CK-17,9
CK-18,7
CK-19,7
CK-2,3
CK-20,39
CK-21,2
CK-22,7
CK-23,1
CK-25,6
CK-27,16
CK-28,27
CK-29,19
CK-3,1
CK-31,70
CK-32,57
CK-33,19
CK-34,2
CK-35,2
CK-36,1
CK-37,14
CK-38,1
CK-39,9
CK-4,2
CK-40,1
CK-41,16
CK-42,46
CK-43,2
CK-44,6
CK-45,4
CK-46,4
CK-48,20
CK-49,2
CK-5,1
CK-50,7
CK-51,5
CK-53,17
CK-54,28
CK-55,4
CK-56,6
CK-57,16
CK-58,17
CK-6,9
CK-60,4
CK-61,3
CK-63,4
CK-64,1
CK-65,4
CK-67,5
CK-68,8
CK-69,8
CK-7,1
CK-71,1
CK-72,17
CK-73,3
CK-74,5
CK-75,2
CK-76,4
CK-78,1
CK-8,2
CK-80,6
CK-81,1
CK-82,1
CK-83,2
CK-9,1
CK-9002,1
CK-9004,2
CK-9005,1
CK-9006,3
CK-9007,4
CK-9008,1
CM-10,188
CM-11,63
CM-12,11
CM-13,17
CM-14,1
CM-15,69
CM-16,23
CM-17,9
CM-18,147
CM-19,14
CM-2,104
CM-20,65
CM-21,95
CM-22,41
CM-23,62
CM-24,12
CM-25,1
CM-26,28
CM-27,41
CM-28,18
CM-3,65
CM-30,19
CM-31,20
CM-32,17
CM-38,1
CM-4,160
CM-42,1
CM-43,4
CM-44,1
CM-45,2
CM-46,2
CM-5,21
CM-6,40
CM-7,7
CM-8,58
CM-9,6
CM-9004,21
CO-1,4
CO-10,69
CO-11,57
CO-12,117
CO-13,108
CO-14,16
CO-15,76
CO-16,26
CO-17,126
CO-18,46
CO-19,4
CO-20,13
CO-21,24
CO-22,32
CO-23,110
CO-24,66
CO-25,28
CO-26,14
CO-27,185
CO-29,33
CO-30,62
CO-31,30
CO-32,93
CO-33,90
CO-34,19
CO-35,23
CO-36,13
CO-37,33
CO-39,8
CO-4,16
CO-41,8
CO-45,1
CO-47,114
CO-48,23
CO-5,10
CO-7,9
CO-8,46
CO-9,37
PKE-1,68
PKE-10,100
PKE-11,66
PKE-12,6
PKE-13,1
PKE-2,85
PKE-3,35
PKE-4,102
PKE-5,181
PKE-6,149
PKE-7,164
PKE-8,57
PKE-9,17
PKE-9005,1
PKO-1,96
PKO-10,13
PKO-11,39
PKO-12,182
PKO-13,105
PKO-14,37
PKO-15,58
PKO-16,65
PKO-17,60
PKO-18,5
PKO-19,1
PKO-2,13
PKO-3,78
PKO-4,12
PKO-5,24
PKO-6,67
PKO-7,48
PKO-8,69
PKO-9,58
SEL-01-01,1
SEL-03-01,3
SEL-03-02,1
SEL-03-03,11
SEL-03-04,4
SEL-03-05,8
SEL-03-07,1
