,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,205,Chinook,1950,NA,2000,NA,Skeena
2,210,Chinook,1950,NA,NA,NA,Skeena
3,206,Chinook,1950,NA,NA,NA,Skeena
4,207,Chinook,1950,NA,NA,NA,Skeena
5,222,Chinook,1950,NA,46800,NA,Skeena
6,217,Chinook,1950,NA,1375,NA,Skeena
7,221,Chinook,1950,NA,1075,NA,Skeena
8,224,Chinook,1950,NA,200,NA,Skeena
9,212,Chinook,1950,NA,NA,NA,Skeena
10,227,Chinook,1950,NA,NA,NA,Skeena
11,229,Chinook,1950,NA,NA,NA,Skeena
12,241,Chinook,1950,NA,NA,NA,Skeena
13,211,Chum,1950,NA,13200,NA,Skeena
14,214,Chum,1950,NA,6007,NA,Skeena
15,220,Chum,1950,NA,7250,NA,Skeena
16,242,Chum,1950,NA,NA,NA,Skeena
17,202,Coho,1950,NA,17812,NA,Skeena
18,215,Coho,1950,NA,23154,NA,Skeena
19,231,Coho,1950,NA,300,NA,Skeena
20,225,Coho,1950,NA,400,NA,Skeena
21,240,Pink (Even),1950,NA,NA,NA,Skeena
22,213,Pink (Odd),1950,NA,NA,NA,Skeena
23,219,Pink (Even),1950,NA,590200,NA,Skeena
24,218,Pink (Even),1950,NA,345328,NA,Skeena
25,223,Pink (Odd),1950,NA,NA,NA,Skeena
26,209,Pink (Odd),1950,NA,NA,NA,Skeena
27,172,Lake Sockeye,1950,NA,NA,NA,Skeena
28,173,Lake Sockeye,1950,NA,NA,NA,Skeena
29,179,Lake Sockeye,1950,NA,NA,NA,Skeena
30,182,Lake Sockeye,1950,NA,NA,NA,Skeena
31,184,Lake Sockeye,1950,NA,NA,NA,Skeena
32,204,Lake Sockeye,1950,NA,NA,NA,Skeena
33,243,Lake Sockeye,1950,NA,NA,NA,Skeena
34,174,Lake Sockeye,1950,NA,NA,NA,Skeena
35,181,Lake Sockeye,1950,NA,NA,NA,Skeena
36,194,Lake Sockeye,1950,NA,NA,NA,Skeena
37,195,Lake Sockeye,1950,NA,NA,NA,Skeena
38,196,Lake Sockeye,1950,NA,NA,NA,Skeena
39,198,Lake Sockeye,1950,NA,NA,NA,Skeena
40,199,Lake Sockeye,1950,NA,NA,NA,Skeena
41,200,Lake Sockeye,1950,NA,NA,NA,Skeena
42,201,Lake Sockeye,1950,NA,NA,NA,Skeena
43,230,Lake Sockeye,1950,NA,NA,NA,Skeena
44,171,Lake Sockeye,1950,NA,13000,NA,Skeena
45,175,Lake Sockeye,1950,NA,2500,NA,Skeena
46,176,Lake Sockeye,1950,NA,3200,NA,Skeena
47,177,Lake Sockeye,1950,NA,2200,NA,Skeena
48,178,Lake Sockeye,1950,NA,4500,NA,Skeena
49,180,Lake Sockeye,1950,NA,NA,NA,Skeena
50,203,Lake Sockeye,1950,NA,NA,NA,Skeena
51,186,Lake Sockeye,1950,NA,NA,NA,Skeena
52,189,Lake Sockeye,1950,NA,NA,NA,Skeena
53,183,Lake Sockeye,1950,NA,NA,NA,Skeena
54,185,Lake Sockeye,1950,NA,42750,NA,Skeena
55,187,Lake Sockeye,1950,NA,1200,NA,Skeena
56,188,Lake Sockeye,1950,NA,NA,NA,Skeena
57,190,Lake Sockeye,1950,NA,NA,NA,Skeena
58,191,Lake Sockeye,1950,NA,5000,NA,Skeena
59,192,Lake Sockeye,1950,NA,11200,NA,Skeena
60,193,Lake Sockeye,1950,NA,NA,NA,Skeena
61,197,Lake Sockeye,1950,NA,NA,NA,Skeena
62,226,River Sockeye,1950,NA,750,NA,Skeena
63,216,River Sockeye,1950,NA,NA,NA,Skeena
64,205,Chinook,1951,NA,3000,NA,Skeena
65,210,Chinook,1951,NA,NA,NA,Skeena
66,206,Chinook,1951,NA,NA,NA,Skeena
67,207,Chinook,1951,NA,NA,NA,Skeena
68,222,Chinook,1951,NA,12300,NA,Skeena
69,217,Chinook,1951,NA,1400,NA,Skeena
70,221,Chinook,1951,NA,525,NA,Skeena
71,224,Chinook,1951,NA,200,NA,Skeena
72,212,Chinook,1951,NA,NA,NA,Skeena
73,227,Chinook,1951,NA,30,NA,Skeena
74,229,Chinook,1951,NA,NA,NA,Skeena
75,241,Chinook,1951,NA,NA,NA,Skeena
76,211,Chum,1951,NA,10950,NA,Skeena
77,214,Chum,1951,NA,5000,NA,Skeena
78,220,Chum,1951,NA,1500,NA,Skeena
79,242,Chum,1951,NA,NA,NA,Skeena
80,202,Coho,1951,NA,35900,NA,Skeena
81,215,Coho,1951,NA,15310,NA,Skeena
82,231,Coho,1951,NA,200,NA,Skeena
83,225,Coho,1951,NA,1040,NA,Skeena
84,240,Pink (Even),1951,NA,NA,NA,Skeena
85,213,Pink (Odd),1951,NA,107756,NA,Skeena
86,219,Pink (Even),1951,NA,NA,NA,Skeena
87,218,Pink (Even),1951,NA,NA,NA,Skeena
88,223,Pink (Odd),1951,NA,87000,NA,Skeena
89,209,Pink (Odd),1951,NA,230100,NA,Skeena
90,172,Lake Sockeye,1951,NA,NA,NA,Skeena
91,173,Lake Sockeye,1951,NA,NA,NA,Skeena
92,179,Lake Sockeye,1951,NA,NA,NA,Skeena
93,182,Lake Sockeye,1951,NA,NA,NA,Skeena
94,184,Lake Sockeye,1951,NA,NA,NA,Skeena
95,204,Lake Sockeye,1951,NA,NA,NA,Skeena
96,243,Lake Sockeye,1951,NA,NA,NA,Skeena
97,174,Lake Sockeye,1951,NA,NA,NA,Skeena
98,181,Lake Sockeye,1951,NA,NA,NA,Skeena
99,194,Lake Sockeye,1951,NA,NA,NA,Skeena
100,195,Lake Sockeye,1951,NA,NA,NA,Skeena
101,196,Lake Sockeye,1951,NA,NA,NA,Skeena
102,198,Lake Sockeye,1951,NA,NA,NA,Skeena
103,199,Lake Sockeye,1951,NA,NA,NA,Skeena
104,200,Lake Sockeye,1951,NA,NA,NA,Skeena
105,201,Lake Sockeye,1951,NA,NA,NA,Skeena
106,230,Lake Sockeye,1951,NA,NA,NA,Skeena
107,171,Lake Sockeye,1951,NA,13500,NA,Skeena
108,175,Lake Sockeye,1951,NA,2700,NA,Skeena
109,176,Lake Sockeye,1951,NA,4200,NA,Skeena
