"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites"
318,"CK018-North Thompson_SP_1.3","NTh-spr","CK16","NTh+GStr/Stream/Spring","North Thompson, Stream, Spring population","CK-18","Chinook",5,"Endangered",3,1,5,0,9,"Low",7
319,"CK019-North Thompson_SU_1.3","NTh-sum","CK17","NTh+Gstr/Stream/Summer","North Thompson, Stream, Summer population","CK-19","Chinook",5,"Endangered",2,3,5,0,10,"Low",7
320,"CK020-Southern Mainland-Georgia Strait_FA_0.x","SC-GStr","CK18","SC+GStr/Ocean/Fall","South Coast - Georgia Strait, Ocean, Fall population","CK-20","Chinook",4,"Data Deficient",0,0,0,0,0,"High",39
321,"CK021-East Vancouver Island-Goldstream_FA_0.x","Goldstr","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-21","Chinook",3,"Special Concern",0,5,0,0,5,"High",2
322,"CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x","CWCH-KOK","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-22","Chinook",3,"Special Concern",5,5,5,0,15,"High",7
323,"CK023-East Vancouver Island-Nanaimo_SP_1.x","NanR-spr","CK19","EVI+GStr/Stream/Spring","East Vancouver Island, Stream, Spring population","CK-23","Chinook",4,"Endangered",0,0,0,0,0,"None",1
324,"CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x","EVI-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-25","Chinook",3,"Special Concern",3,5,5,0,13,"High",6
325,"CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x","QP-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-27","Chinook",4,"Special Concern",3,5,5,0,13,"High",16
326,"CK028-Southern Mainland-Southern Fjords_FA_0.x","SC+SFj","CK22","SC+SFj/Ocean/Fall","South Coast - Southern Fjords, Ocean, Fall population","CK-28","Chinook",4,"Data Deficient",3,0,2,0,5,"High",27
327,"CK029-East Vancouver Island-North_FA_0.x","NEVI","CK23","EVI+SFj/Ocean/Fall","East Vancouver Island - North, Ocean, Fall (EVI + SFj) population","CK-29","Chinook",4,"Not at risk",4,5,5,0,14,"High",19
NA,"CK030-Port San Juan ","PSJ","CK24","WVI/Ocean/Fall (South)","West Vancouver Island, Ocean, Fall (South) population","CK-30","Chinook",NA,"",NA,NA,NA,NA,NA,NA,NA
328,"CK031-West Vancouver Island-South_FA_0.x","SWVI","CK24","WVI/Ocean/Fall (South)","West Vancouver Island, Ocean, Fall (South) population","CK-31","Chinook",4,"Threatened",3,0,4,0,7,"High",70
329,"CK032-West Vancouver Island-Nootka and Kyuquot_FA_0.x","NoKy","CK25","WVI/Ocean/Fall (Nootka & Kyuquot)","West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population","CK-32","Chinook",4,"Threatened",3,0,5,0,8,"High",57
330,"CK033-West Vancouver Island-North_FA_0.x","NWVI","CK26","WVI+WHG/Ocean/Fall","West Vancouver Island - North, Ocean, Fall (WVI + WQCI) population","CK-33","Chinook",4,"Data Deficient",3,0,2,0,5,"High",19
331,"CK034-Homathko_SU_x.x","HOMATH","CK27","HK+SFj/Ocean/Summer","Southern Mainland Ocean Summer","CK-34","Chinook",5,"Data Deficient",0,0,0,0,0,"None",2
332,"CK035-Klinaklini_SU_1.3","KLINA","CK28","HK+SFj/Stream/Summer","Southern Mainland Stream Summer","CK-35","Chinook",5,"Data Deficient",0,0,0,0,0,"None",2
333,"CK082-Upper Adams River_SU_x.x","UAdams-summer","CK29","STh+GStr/Stream/Summer","Upper Adams, Stream, Summer","CK-82","Chinook",5,"",0,0,0,0,0,"None",1
334,"CK083-East Vancouver Island-Georgia Strait_SU_0.3","EVIGStr-sum","CK20","EVI+GStr/Ocean/Summer","East Vancouver Island, Ocean, Summer population","CK-83","Chinook",4,"Endangered",4,5,5,0,14,"High",2
401,"Portland Sound-Observatory Inlet-Lower Nass","","CK49","LNR-P","Lower Nass River, Stream, Summer","CK-57","Chinook",5,"",1,2,2,5,10,"Low",16
402,"Upper Nass","","CK50","UNR","Upper Nass River, Stream, Summer","CK-58","Chinook",5,"",2,5,5,5,17,"None",17
509,"Docee","","CK32","SMITH","Smith Inlet, Ocean, Summer","CK-36","Chinook",4,"",0,0,0,0,0,"None",1
510,"Rivers Inlet","","CK33","RIVERS","Rivers Inlet, Stream, Summer","CK-37","Chinook",5,"",1,3,1,3,8,"Low",14
511,"Wannock","","CK34","WANN","Wannock","CK-38","Chinook",5,"",1,3,2,3,9,"Moderate",1
512,"Bella Coola-Bentinck","","CK35","BCR-BENT","Bella Coola-Bentinck, Ocean, Summer","CK-39","Chinook",5,"",1,5,2,5,13,"High",9
513,"Dean River","","CK36","DEAN","Dean River, Stream, Summer","CK-40","Chinook",5,"",1,5,1,3,10,"None",1
514,"NCC-late timing","","CK37","NCC Late","North & Central Coast Late,
Ocean/Stream, Summer","CK-41","Chinook",5,"",0,0,0,0,0,"None",16
515,"NCC-early timing","","CK38","NCC early","North & Central Coast Early, Ocean, Spring","CK-42","Chinook",5,"",0,1,3,3,7,"Moderate",46
805,"Haida Gwaii-North","","CK30","HGN","Haida Gwaii-North Ocean/Stream, Summer","CK-43","Chinook",6,"",0,0,0,0,0,"Moderate",2
806,"Haida Gwaii-East","","CK31","HGE","Haida Gwaii-East Ocean, Fall","CK-44","Chinook",6,"",0,0,0,0,0,"None",6
NA,"","","CK39","HecLow","HecLow, Ocean/Stream, Summer","","",NA,"",NA,NA,NA,NA,NA,NA,NA
211,"Lower Skeena-CM","","","","","CM-27","Chum",4,"",1,4,2,3,10,"Low",41
214,"Middle Skeena-CM","","","","","CM-28","Chum",NA,"",2,3,2,3,10,"None",18
220,"Skeena Estuary-CM","","","","","CM-26","Chum",NA,"",0,2,1,3,6,"Moderate",28
242,"Upper Skeena","","","","",NA,"Chum",6,"",0,0,0,0,0,"None",NA
404,"Portland Inlet","","","","","CM-30","Chum",4,"",1,5,1,3,10,"Low",19
405,"Lower Nass","","","","","CM-31","Chum",4,"",0,0,4,3,7,"None",20
406,"Portland Canal-Observatory","","","","","CM-32","Chum",4,"",0,5,4,3,12,"Low",17
500,"Smith Inlet","","","","","CM-12","Chum",4,"",1,5,3,2,11,"None",11
501,"Rivers Inlet","","","","","CM-13","Chum",4,"",1,2,2,2,7,"None",17
502,"Wannock","","","","","CM-14","Chum",4,"",0,0,0,0,0,"Low",1
503,"Spiller-Fitz-Hugh-Burke","","","","","CM-15","Chum",4,"",1,3,3,2,9,"Moderate",69
504,"Bella Colla-Dean Rivers","","","","","CM-16","Chum",4,"",1,5,4,2,12,"Moderate",23
505,"Bella Coola River-Late","","","","","CM-17","Chum",4,"",0,0,0,0,0,"Moderate",9
506,"Hecate Lowlands","","","","","CM-18","Chum",4,"",1,3,3,2,9,"Moderate",147
507,"Mussel-Kynock","","","","","CM-19","Chum",4,"",1,5,4,2,12,"None",14
508,"Douglas-Gardner","","","","","CM-20","Chum",4,"",2,2,5,2,11,"Moderate",65
701,"Lower Fraser","","","","","CM-2","Chum",4,"",3,0,2,0,5,"Moderate",104
800,"North Haida Gwaii-Stanley Creek","","","","","CM-25","Chum",5,"",1,5,0,2,8,"None",1
801,"East HG","","","","","CM-21","Chum",5,"",1,2,4,2,9,"Low",95
802,"North Haida Gwaii","","","","","CM-24","Chum",5,"",1,2,2,2,7,"None",12
803,"West Haida Gwaii","","","","","CM-23","Chum",5,"",1,2,3,2,8,"Low",62
804,"Skidegate","","","","","CM-22","Chum",5,"",1,3,4,2,10,"Moderate",41
900,"Southern Coastal Streams","","","","","CM-8","Chum",4,"",3,0,1,0,4,"Low",58
901,"Bute Inlet","","","","","CM-7","Chum",4,"",0,0,0,0,0,"Moderate",7
902,"Loughborough","","","","","CM-6","Chum",4,"",2,1,3,0,6,"Low",40
903,"Northeast Vancouver Island","","","","","CM-5","Chum",4,"",1,1,4,0,6,"Moderate",21
904,"Georgia Strait","","","","","CM-4","Chum",4,"",3,5,4,0,12,"Moderate",160
905,"Howe Sound-Burrand Inlet","","","","","CM-3","Chum",4,"",0,0,0,0,0,"Moderate",65
