"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","DU_name_short","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
205,"Ecstall",NA,"CK41","ECST","Ecstall, Ocean, Summer","Ecstall","CK-46","Chinook",6,"Status assessment recommended",0,0,0,0,0,"None",4,"Skeena"
206,"Kalum-early timing",NA,"CK43","KALUM-E","Kalum ? Early Timing, Stream, Spring","Kalum-Early","CK-49","Chinook",6,"Status assessment recommended",0,0,0,0,0,"Low",2,"Skeena"
207,"Kalum-late timing",NA,"CK44","KALUM-L","Kalum ? Late Timing, Stream, Summer","Kalum-Early","CK-50","Chinook",6,"Status assessment recommended",1,5,4,5,15,"High",7,"Skeena"
210,"Lower Skeena-CK",NA,"CK42","LSK","Lower Skeena, Stream, Summer","Lower Skeena-Stream-Summer","CK-48","Chinook",6,"Status assessment recommended",1,3,1,5,10,"Low",20,"Skeena"
212,"Upper Skeena-CK",NA,"CK48","USK","Upper Skeena River, Stream, Spring","Upper Skeena-Stream-Spring","CK-56","Chinook",6,NA,0,0,0,0,0,"None",6,"Skeena"
217,"Middle Skeena-mainstem tributaries",NA,"CK47","MSK-M/S","Middle Skeena-M/S Tributary, Stream, Summer","Middle Skeena-M/S-Tribs","CK-54","Chinook",6,"Status assessment recommended",1,4,2,5,12,"Low",28,"Skeena"
221,"Upper Bulkley River",NA,"CK45",NA,"Bulkley River, Stream, Spring","Bulkley-Stream-Spring","CK-55","Chinook",6,"Status assessment recommended",0,0,0,0,0,"High",4,"Skeena"
222,"Middle Skeena-large lakes",NA,"CK46","MSK-LKS","Middle Skeena ? Lakes, Stream, Summer","Middle Skeena-Lakes-Stream-Summer","CK-53","Chinook",6,NA,3,5,5,5,18,"High",17,"Skeena"
224,"Skeena Estuary-CK",NA,"CK40","SKEst","Skeena Estuary, Stream, Summer","Skeena Estuary-Stream-Summer","CK-45","Chinook",6,NA,0,0,0,0,0,"Moderate",4,"Skeena"
227,"Lakelse-CK",NA,"CK42","LSK","Lower Skeena, Stream, Summer","Lower Skeena-Stream-Summer","CK-51","Chinook",6,"Status assessment recommended",0,0,0,0,0,"Low",5,"Skeena"
229,"Zymoetz",NA,"CK42","LSK","Lower Skeena, Stream, Summer","Lower Skeena-Stream-Summer","CK-80","Chinook",6,"Status assessment recommended",0,0,0,0,0,"None",6,"Skeena"
241,"Sicintine",NA,"CK48",NA,"Upper Skeena River, Stream, Spring","Upper Skeena-Stream-Spring","CK-81","Chinook",6,NA,0,0,0,0,0,"None",1,"Skeena"
301,"Okanagan","OK","CK69","OK+ORWA/Ocean/Fall","Okanagan River, Ocean, Fall","Okanagan-Ocean-Fall","CK-1","Chinook",4,"Endangered",NA,NA,NA,NA,NA,"None",1,"Columbia"
302,"Boundary Bay_FA_0.3","BB","CK1","BB+GStr/Ocean/Fall","Southern Mainland Boundary Bay, Ocean, Fall population","Boundary Bay-Ocean-Fall ","CK-2","Chinook",5,"Threatened",0,0,0,0,0,"High",3,"Fraser"
303,"Lower Fraser River_FA_0.3","LFR-fall","CK2","LFR+GStr/Ocean/Fall","Lower Fraser, Ocean, Fall population (Harrison)","Lower Fraser-Ocean-Fall","CK-3","Chinook",4,"Threatened",4,5,5,0,14,"Moderate",1,"Fraser"
304,"Lower Fraser River_SP_1.3","LFR-spring","CK3","LFR+GStr/Stream/Spring","Lower Fraser, Stream, Spring population (Birkenhead)","Lower Fraser-Stream-Spring","CK-4","Chinook",5,"Special Concern",2,1,5,0,8,"Low",2,"Fraser"
