CUID,Species,Year,Region,Spawner.Abundance
1300,Sockeye,2020,Columbia,NA
1300,Sockeye,2019,Columbia,NA
1300,Sockeye,2018,Columbia,NA
1300,Sockeye,2017,Columbia,NA
1300,Sockeye,2016,Columbia,NA
1300,Sockeye,2015,Columbia,NA
1300,Sockeye,2014,Columbia,146701
1300,Sockeye,2013,Columbia,36557
1300,Sockeye,2012,Columbia,94071
1300,Sockeye,2011,Columbia,77650
1300,Sockeye,2010,Columbia,209974
1300,Sockeye,2009,Columbia,64141
1300,Sockeye,2008,Columbia,127602
1300,Sockeye,2007,Columbia,13504
1300,Sockeye,2006,Columbia,20819
1300,Sockeye,2005,Columbia,31536
1300,Sockeye,2004,Columbia,41571
1300,Sockeye,2003,Columbia,17753
1300,Sockeye,2002,Columbia,4898
1300,Sockeye,2001,Columbia,41922
1300,Sockeye,2000,Columbia,29243
1300,Sockeye,1999,Columbia,5648
1300,Sockeye,1998,Columbia,3708
1300,Sockeye,1997,Columbia,11996
1300,Sockeye,1996,Columbia,17035
1300,Sockeye,1995,Columbia,4581
1300,Sockeye,1994,Columbia,1977
1300,Sockeye,1993,Columbia,NA
1300,Sockeye,1992,Columbia,NA
1300,Sockeye,1991,Columbia,NA
1300,Sockeye,1990,Columbia,NA
1300,Sockeye,1989,Columbia,NA
1300,Sockeye,1988,Columbia,NA
1300,Sockeye,1987,Columbia,NA
1300,Sockeye,1986,Columbia,NA
1300,Sockeye,1985,Columbia,NA
1300,Sockeye,1984,Columbia,NA
1300,Sockeye,1983,Columbia,NA
1300,Sockeye,1982,Columbia,NA
1300,Sockeye,1981,Columbia,NA
1300,Sockeye,1980,Columbia,NA
1300,Sockeye,1979,Columbia,NA
1300,Sockeye,1978,Columbia,NA
1300,Sockeye,1977,Columbia,NA
1300,Sockeye,1976,Columbia,NA
1300,Sockeye,1975,Columbia,NA
1300,Sockeye,1974,Columbia,NA
1300,Sockeye,1973,Columbia,NA
1300,Sockeye,1972,Columbia,NA
1300,Sockeye,1971,Columbia,NA
1300,Sockeye,1970,Columbia,NA
1300,Sockeye,1969,Columbia,NA
1300,Sockeye,1968,Columbia,NA
1300,Sockeye,1967,Columbia,NA
1300,Sockeye,1966,Columbia,NA
1300,Sockeye,1965,Columbia,NA
1300,Sockeye,1964,Columbia,NA
1300,Sockeye,1963,Columbia,NA
1300,Sockeye,1962,Columbia,NA
1300,Sockeye,1961,Columbia,NA
1300,Sockeye,1960,Columbia,NA
1300,Sockeye,1959,Columbia,NA
1300,Sockeye,1958,Columbia,NA
