"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
520,"Hecate Strait Mainland","HecLow+HStr","CO23","HecLow","Hecate Strait Mainland","CO-27","Coho",3,NA,1,3,1,1,6,"Moderate",185,"CC"
520,"Hecate Strait Mainland","HecLow+HStr","CO23","HecLow","Hecate Strait Mainland","CO-27","Coho",3,NA,1,3,1,1,6,"Moderate",185,"CC"
521,"Brim-Wahoo","BRIM","CO24","NCS","Northern Coastal Streams","CO-28","Coho",3,NA,0,5,5,1,11,"None",NA,"CC"
522,"Douglas Channel-Kitimat Arm","DOUG","CO24","NCS","Northern Coastal Streams","CO-29","Coho",3,NA,0,2,4,1,7,"Moderate",33,"CC"
523,"N Coastal Streams","NCS","CO24","NCS","Northern Coastal Streams","CO-30","Coho",3,NA,1,5,4,1,11,"Low",62,"CC"
524,"Long","LONG","SE100","LONG","Long","SEL-15-01","Sockeye-Lake",5,NA,1,5,2,2,10,"Low",3,"CC"
525,"Owikeno","OWIKENO","SE101","OWIKENO","Owikeno","SEL-15-02","Sockeye-Lake",5,NA,1,3,4,2,10,"Low",9,"CC"
526,"Owikeno-Late","OWIKENO-L","T06","OWIKENO-L","Owikeno","SEL-15-03","Sockeye-Lake",5,NA,0,0,0,0,0,NA,2,"CC"
527,"Wannock[Owikeno]","WANNOCK","SE102","WANNOCK","Wannock","SEL-15-04","Sockeye-Lake",5,NA,0,0,0,0,0,"Low",1,"CC"
528,"South Atnarko Lakes",NA,"SE103","S_ATNARKO","S Atnarko","SX_528","Sockeye-Lake",5,NA,1,5,5,2,13,"High",NA,"CC"
529,"Backland","BACKLAND","T10","BACKLAND","Backland","SEL-18-01","Sockeye-Lake",5,NA,0,5,4,2,11,"None",1,"CC"
530,"Soda Creek",NA,NA,NA,NA,"SEL-18-10","Sockeye-Lake",5,NA,0,0,0,0,0,"None",NA,"CC"
531,"Whalen","WHALEN","T12","WHALEN","Whalen","SEL-18-11","Sockeye-Lake",5,NA,0,0,0,0,0,NA,1,"CC"
532,"Canoona","CANOONA","SE104","CANOONA","Canoona","SEL-18-02","Sockeye-Lake",5,NA,1,5,3,2,11,"None",1,"CC"
533,"Dome","DOME","T11","DOME","Dome","SEL-18-03","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
534,"Evelyn","EVELYN","SE105","EVELYN","Evelyn","SEL-18-04","Sockeye-Lake",5,NA,3,5,5,2,15,"None",1,"CC"
535,"Kainet Creek","KAINET","SE106","KAINET","Kainet","SEL-18-05","Sockeye-Lake",5,NA,1,5,5,2,13,"None",1,"CC"
536,"Kimsquit","KIMSQUIT","SE107","KIMSQUIT","Kimsquit","SEL-18-06","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
537,"Kitkiata",NA,"SE108","KITKATLA","Kitkatla","SEL-18-07","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
538,"Kitlope","KITLOPE","SE109","KITLOPE","Kitlope","SEL-18-08","Sockeye-Lake",5,NA,0,5,5,2,12,"None",1,"CC"
539,"Pine River","PINE","SE110","PINE","Pine","SEL-18-09","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
540,"Banks","BANKS","SE111","BANKS","Banks","SEL-19-01","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
541,"Bloomfield","BLOOMFIELD","SE112","BLOOMFIELD","Bloomfield","SEL-19-02","Sockeye-Lake",5,NA,0,5,2,2,9,"None",1,"CC"
542,"Bolton Creek","BOLTON","SE113","BOLTON","Bolton","SEL-19-03","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
543,"Bonilla","BONILLA","SE114","BONILLA","Bonilla","SEL-19-04","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
544,"Borrowman Creek","BORROWMAN","T13","BORROWMAN","Borrowman","SEL-19-05","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
545,"Busey Creek","BUSEY","T14","BUSEY","Busey","SEL-19-06","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
546,"Cartwright Creek","CARTWRIGHT","T15","CARTWRIGHT","Cartwright Creek","SEL-19-07","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
547,"Chic Chic","CHIC CHIC","T16","CHIC CHIC","Chic Chic","SEL-19-08","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
548,"Citeyats",NA,"SE115","TUWARTZ","Tuwartz","SEL-19-09","Sockeye-Lake",5,NA,0,0,0,0,0,"None",1,"CC"
