"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites","Region"
219,"Nass-Skeena Estuary (even)",NA,"PE15",NA,"Skeena Estuary","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE15",NA,"Skeena Estuary","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE16",NA,"Lower Skeena","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE16",NA,"Lower Skeena","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE19",NA,"Lower Nass - Portland Canal","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
219,"Nass-Skeena Estuary (even)",NA,"PE19",NA,"Lower Nass - Portland Canal","PKE-07","Pink",2,NA,0,4,3,3,10,"Low",NA,"Skeena"
220,"Skeena Estuary-CM",NA,"CM25",NA,"Skeena Estuary","CM-26","Chum",NA,NA,0,2,1,3,6,"Moderate",28,"Skeena"
221,"Upper Bulkley River",NA,"CK45",NA,"Bulkley River, Stream, Spring","CK-55","Chinook",6,"Status assessment recommended",0,0,0,0,0,"High",4,"Skeena"
222,"Middle Skeena-large lakes",NA,"CK46","MSK-LKS","Middle Skeena ? Lakes, Stream, Summer","CK-53","Chinook",6,NA,3,5,5,5,18,"High",17,"Skeena"
223,"Nass-Skeena Estuary (odd)",NA,"PO23",NA,"Skeena Estuary","PKO-14","Pink",2,NA,1,2,3,3,9,"Low",37,"Skeena"
224,"Skeena Estuary-CK",NA,"CK40","SKEst","Skeena Estuary, Stream, Summer","CK-45","Chinook",6,NA,0,0,0,0,0,"Moderate",4,"Skeena"
225,"Skeena Estuary-CO","NSKEst","CO25","NSKEst","Skeena Estuary","CO-31","Coho",3,NA,0,0,0,0,0,"Moderate",30,"Skeena"
226,"Skeena River",NA,"SE039","LSK","Lower Skeena River","SER-18","Sockeye-River",5,NA,0,0,0,0,0,"None",22,"Skeena"
226,"Skeena River",NA,"SE040","MSK","Middle Skeena River","SER-18","Sockeye-River",5,NA,0,0,0,0,0,"None",22,"Skeena"
227,"Lakelse-CK",NA,"CK42","LSK","Lower Skeena, Stream, Summer","CK-51","Chinook",6,"Status assessment recommended",0,0,0,0,0,"Low",5,"Skeena"
229,"Zymoetz",NA,"CK42","LSK","Lower Skeena, Stream, Summer","CK-80","Chinook",6,"Status assessment recommended",0,0,0,0,0,"None",6,"Skeena"
230,"Footsore/Hodder","FOOTSORE/HODDER","SE165","FOOTSORE/HODDER","Footsore/Hodder","SEL-21-12","Sockeye-Lake",5,NA,0,0,0,0,0,"None",3,"Skeena"
231,"Upper Skeena-CO","USKNA","CO28","USK","Upper Skeena","CO-34","Coho",3,NA,4,4,3,3,14,"None",19,"Skeena"
240,"Lower Skeena (even)",NA,"PE16",NA,"Lower Skeena","PKE-7","Pink",2,NA,0,0,0,0,0,NA,164,"Skeena"
241,"Sicintine",NA,"CK48",NA,"Upper Skeena River, Stream, Spring","CK-81","Chinook",6,NA,0,0,0,0,0,"None",1,"Skeena"
242,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"None",NA,"Skeena"
243,"Onerka","ONERKA","T47","ONERKA","Onerka",NA,"Sockeye-Lake",5,NA,NA,NA,NA,NA,NA,NA,NA,"Skeena"
301,"Okanagan","OK","CK69","OK+ORWA/Ocean/Fall","Okanagan River, Ocean, Fall","CK-1","Chinook",4,"Endangered",NA,NA,NA,NA,NA,"None",1,"Columbia"
302,"Boundary Bay_FA_0.3","BB","CK1","BB+GStr/Ocean/Fall","Southern Mainland Boundary Bay, Ocean, Fall population","CK-2","Chinook",5,"Threatened",0,0,0,0,0,"High",3,"Fraser"
303,"Lower Fraser River_FA_0.3","LFR-fall","CK2","LFR+GStr/Ocean/Fall","Lower Fraser, Ocean, Fall population (Harrison)","CK-3","Chinook",4,"Threatened",4,5,5,0,14,"Moderate",1,"Fraser"
304,"Lower Fraser River_SP_1.3","LFR-spring","CK3","LFR+GStr/Stream/Spring","Lower Fraser, Stream, Spring population (Birkenhead)","CK-4","Chinook",5,"Special Concern",2,1,5,0,8,"Low",2,"Fraser"
305,"Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT","CK4","LFR+GStr/Stream/Summer(Upper Pitt)","Lower Fraser, Stream, Summer (Upper Pitt) population","CK-5","Chinook",5,"Endangered",0,0,0,0,0,"Low",1,"Fraser"
306,"Lower Fraser River_SU_1.3","LFR-summer","CK5","LFR+GStr/Stream/Summer","Lower Fraser, Stream, Summer (Lillooet) population","CK-6","Chinook",5,"Threatened",0,0,0,0,0,"Low",9,"Fraser"
307,"Maria Slough_SU_0.3","Maria","CK6","LFR+GStr/Ocean/Summer","Lower Fraser, Ocean, Summer (Maria Slough) population","CK-7","Chinook",4,"Endangered",0,0,0,0,0,"High",1,"Fraser"
308,"Middle Fraser-Fraser Canyon_SP_1.3","NAHAT","CK7","FRCanyGStr/Stream/Spring","Middle Fraser, Stream, Spring (FR Canyon) population","CK-8","Chinook",5,"Endangered",0,0,0,0,0,"None",2,"Fraser"
309,"Middle Fraser River-Portage_FA_1.3","Portage","CK8","MFR+GStr/Stream/Fall","Middle Fraser, Stream, Fall (Portage) population","CK-9","Chinook",5,"Endangered",0,0,0,0,0,"None",1,"Fraser"
310,"Middle Fraser River_SP_1.3","MFR-spring","CK9","MFR+GStr/Stream/Spring","Middle Fraser, Stream, Spring (MFR+GStr) population","CK-10","Chinook",5,"Threatened",2,0,5,0,7,"Moderate",25,"Fraser"
311,"Middle Fraser River_SU_1.3","MFR-summer","CK10","MFR+GStr/Stream/Summer","Middle Fraser, Stream, Summer population","CK-11","Chinook",5,"Threatened",3,1,4,0,8,"Moderate",18,"Fraser"
312,"Upper Fraser River_SP_1.3","UFR-spring","CK11","UFR/Stream/Spring","Upper Fraser, Stream, Spring population","CK-12","Chinook",5,"Endangered",2,0,5,0,7,"Low",43,"Fraser"
