cuid,regionid,regionname,cuname,sppqualifiedid,cu_enh_rank
171,1,Skeena,Alastair,1,None
174,1,Skeena,Ecstall/Lower,1,None
175,1,Skeena,Johnston,1,None
176,1,Skeena,Kitsumkalum,1,None
177,1,Skeena,Lakelse,1,High
178,1,Skeena,Mcdonell/Dennis/Aldrich,1,None
180,1,Skeena,Babine/Onerka,1,None
181,1,Skeena,Bulkley/Maxan,1,None
183,1,Skeena,Gitanyow (Kitwanga/Kitwancool),1,None
185,1,Skeena,Morice/Atna,1,None
186,1,Skeena,Nilkitkwa,1,None
187,1,Skeena,Stephens,1,None
188,1,Skeena,Swan/Club,1,None
189,1,Skeena,Tahlo/Morrison,1,None
190,1,Skeena,Asitika,1,None
191,1,Skeena,Azuklotz,1,None
192,1,Skeena,Bear,1,None
193,1,Skeena,Damshilgwit,1,None
194,1,Skeena,Johanson,1,None
195,1,Skeena,Kluatantan,1,None
196,1,Skeena,Kluayaz,1,None
197,1,Skeena,Motase,1,None
198,1,Skeena,Sicintine,1,None
199,1,Skeena,Slamgeesh,1,None
200,1,Skeena,Spawning,1,None
201,1,Skeena,Sustut,1,None
202,1,Skeena,Lower Skeena,6,Moderate
203,1,Skeena,Babine (enhanced),1,High
205,1,Skeena,Ecstall,5,None
206,1,Skeena,Kalum-Early,5,Low
207,1,Skeena,Kalum-Late,5,High
209,1,Skeena,Lower Skeena River (odd),3,None
210,1,Skeena,Lower Skeena,5,Low
211,1,Skeena,Lower Skeena,7,Low
212,1,Skeena,Upper Skeena,5,None
213,1,Skeena,Middle-Upper Skeena (odd),3,None
214,1,Skeena,Middle Skeena,7,None
215,1,Skeena,Middle Skeena,6,Moderate
216,1,Skeena,Skeena River-High Interior (river-type),2,None
217,1,Skeena,Middle Skeena-Mainstem Tributaries,5,Low
218,1,Skeena,Middle-Upper Skeena (even),4,None
219,1,Skeena,Nass-Skeena Estuary (even),4,Low
220,1,Skeena,Skeena Estuary,7,Moderate
221,1,Skeena,Upper Bulkley River,5,High
222,1,Skeena,Middle Skeena-Large Lakes,5,High
223,1,Skeena,Nass-Skeena Estuary (odd),3,Low
224,1,Skeena,Skeena Estuary,5,Moderate
225,1,Skeena,Skeena Estuary,6,Moderate
226,1,Skeena,Skeena River (river-type),2,None
227,1,Skeena,Lakelse,5,Low
229,1,Skeena,Zymoetz,5,None
230,1,Skeena,Footsore/Hodder,1,None
231,1,Skeena,Upper Skeena,6,None
241,1,Skeena,Sicintine,5,None
242,1,Skeena,Upper Skeena,7,None
301,7,Columbia,Okanagan,5,None
302,4,Fraser,Boundary Bay (Fall 0.3),5,High
303,4,Fraser,Lower Fraser River (Fall 0.3),5,Moderate
304,4,Fraser,Lower Fraser River (Spring 1.3),5,Low
305,4,Fraser,Lower Fraser River-Upper Pitt (Summer 1.3),5,Low
306,4,Fraser,Lower Fraser River (Summer 1.3),5,Low
307,4,Fraser,Lower Fraser River-Maria Slough (Summer 0.3),5,High
308,4,Fraser,Fraser Canyon-Nahatlatch (Spring 1.3),5,None
309,4,Fraser,Middle Fraser River-Portage (Fall 1.3),5,None
310,4,Fraser,Middle Fraser River (Spring 1.3),5,Moderate
311,4,Fraser,Middle Fraser River (Summer 1.3),5,Moderate
312,4,Fraser,Upper Fraser River (Spring 1.3),5,Low
313,4,Fraser,South Thompson River (Summer 0.3),5,None
314,4,Fraser,South Thompson River (Summer 1.3),5,Moderate
315,4,Fraser,Shuswap River (Summer 0.3),5,Moderate
316,4,Fraser,South Thompson River-Bessette Creek (Summer1.2),5,None
317,4,Fraser,Lower Thompson River (Spring 1.2),5,Moderate
318,4,Fraser,North Thompson River (Spring 1.3),5,Low
319,4,Fraser,North Thompson River (Summer 1.3),5,Low
320,5,Vancouver Island & Mainland Inlets,Southern Mainland-Georgia Strait (Fall 0.x),5,High
321,5,Vancouver Island & Mainland Inlets,East Vancouver Island-Goldstream (Fall 0.x),5,High
322,5,Vancouver Island & Mainland Inlets,East Vancouver Island-Cowichan and Koksilah (Fall 0.x),5,High
323,5,Vancouver Island & Mainland Inlets,East Vancouver Island-Nanaimo (Spring 1.x),5,None
324,5,Vancouver Island & Mainland Inlets,East Vancouver Island-Nanaimo and Chemainus (Fall 0.x),5,High
325,5,Vancouver Island & Mainland Inlets,East Vancouver Island-Qualicum and Puntledge (Fall 0.x),5,High
326,5,Vancouver Island & Mainland Inlets,Southern Mainland-Southern Fjords (Fall 0.x),5,High
327,5,Vancouver Island & Mainland Inlets,East Vancouver Island-North (Fall 0.x),5,High
328,5,Vancouver Island & Mainland Inlets,West Vancouver Island-South (Fall 0.x),5,High
329,5,Vancouver Island & Mainland Inlets,West Vancouver Island-Nootka and Kyuquot (Fall 0.x),5,High
330,5,Vancouver Island & Mainland Inlets,West Vancouver Island-North (Fall 0.x),5,High
