,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,401,Chinook,1950,NA,675,NA,Nass
2,402,Chinook,1950,NA,200,NA,Nass
3,405,Chum,1950,NA,2250,NA,Nass
4,406,Chum,1950,NA,5750,NA,Nass
5,404,Chum,1950,NA,15600,NA,Nass
6,408,Coho,1950,NA,600,NA,Nass
7,410,Coho,1950,NA,5900,NA,Nass
8,409,Coho,1950,NA,NA,NA,Nass
9,414,Pink (Odd),1950,NA,NA,NA,Nass
10,412,Pink (Even),1950,NA,NA,NA,Nass
11,415,Pink (Odd),1950,NA,NA,NA,Nass
12,420,Lake Sockeye,1950,NA,NA,NA,Nass
13,418,Lake Sockeye,1950,NA,NA,NA,Nass
14,421,Lake Sockeye,1950,NA,NA,NA,Nass
15,422,Lake Sockeye,1950,NA,NA,NA,Nass
16,423,Lake Sockeye,1950,NA,NA,NA,Nass
17,419,Lake Sockeye,1950,NA,NA,NA,Nass
18,424,Lake Sockeye,1950,NA,NA,NA,Nass
19,425,Lake Sockeye,1950,NA,NA,NA,Nass
20,416,Lake Sockeye,1950,NA,5000,NA,Nass
21,417,Lake Sockeye,1950,NA,4500,NA,Nass
22,426,River Sockeye,1950,NA,750,NA,Nass
23,427,River Sockeye,1950,NA,NA,NA,Nass
24,401,Chinook,1951,NA,850,NA,Nass
25,402,Chinook,1951,NA,400,NA,Nass
26,405,Chum,1951,NA,2750,NA,Nass
27,406,Chum,1951,NA,20850,NA,Nass
28,404,Chum,1951,NA,61300,NA,Nass
29,408,Coho,1951,NA,1600,NA,Nass
30,410,Coho,1951,NA,8000,NA,Nass
31,409,Coho,1951,NA,NA,NA,Nass
32,414,Pink (Odd),1951,NA,121050,NA,Nass
33,412,Pink (Even),1951,NA,NA,NA,Nass
34,415,Pink (Odd),1951,NA,NA,NA,Nass
35,420,Lake Sockeye,1951,NA,NA,NA,Nass
36,418,Lake Sockeye,1951,NA,NA,NA,Nass
37,421,Lake Sockeye,1951,NA,NA,NA,Nass
38,422,Lake Sockeye,1951,NA,NA,NA,Nass
39,423,Lake Sockeye,1951,NA,NA,NA,Nass
40,419,Lake Sockeye,1951,NA,NA,NA,Nass
41,424,Lake Sockeye,1951,NA,NA,NA,Nass
42,425,Lake Sockeye,1951,NA,NA,NA,Nass
43,416,Lake Sockeye,1951,NA,5500,NA,Nass
44,417,Lake Sockeye,1951,NA,5000,NA,Nass
45,426,River Sockeye,1951,NA,1500,NA,Nass
46,427,River Sockeye,1951,NA,NA,NA,Nass
47,401,Chinook,1952,NA,1550,NA,Nass
48,402,Chinook,1952,NA,600,NA,Nass
49,405,Chum,1952,NA,6550,NA,Nass
50,406,Chum,1952,NA,27550,NA,Nass
51,404,Chum,1952,NA,36550,NA,Nass
52,408,Coho,1952,NA,975,NA,Nass
53,410,Coho,1952,NA,5100,NA,Nass
54,409,Coho,1952,NA,NA,NA,Nass
55,414,Pink (Odd),1952,NA,NA,NA,Nass
56,412,Pink (Even),1952,NA,NA,NA,Nass
57,415,Pink (Odd),1952,NA,NA,NA,Nass
58,420,Lake Sockeye,1952,NA,NA,NA,Nass
59,418,Lake Sockeye,1952,NA,NA,NA,Nass
60,421,Lake Sockeye,1952,NA,NA,NA,Nass
61,422,Lake Sockeye,1952,NA,NA,NA,Nass
62,423,Lake Sockeye,1952,NA,NA,NA,Nass
63,419,Lake Sockeye,1952,NA,NA,NA,Nass
64,424,Lake Sockeye,1952,NA,NA,NA,Nass
65,425,Lake Sockeye,1952,NA,NA,NA,Nass
66,416,Lake Sockeye,1952,NA,6000,NA,Nass
67,417,Lake Sockeye,1952,NA,5000,NA,Nass
68,426,River Sockeye,1952,NA,15000,NA,Nass
69,427,River Sockeye,1952,NA,NA,NA,Nass
70,401,Chinook,1953,NA,1550,NA,Nass
71,402,Chinook,1953,NA,750,NA,Nass
72,405,Chum,1953,NA,2300,NA,Nass
73,406,Chum,1953,NA,42450,NA,Nass
74,404,Chum,1953,NA,6550,NA,Nass
75,408,Coho,1953,NA,1350,NA,Nass
76,410,Coho,1953,NA,2825,NA,Nass
77,409,Coho,1953,NA,NA,NA,Nass
78,414,Pink (Odd),1953,NA,15050,NA,Nass
79,412,Pink (Even),1953,NA,NA,NA,Nass
80,415,Pink (Odd),1953,NA,NA,NA,Nass
81,420,Lake Sockeye,1953,NA,NA,NA,Nass
82,418,Lake Sockeye,1953,NA,NA,NA,Nass
83,421,Lake Sockeye,1953,NA,NA,NA,Nass
84,422,Lake Sockeye,1953,NA,NA,NA,Nass
85,423,Lake Sockeye,1953,NA,NA,NA,Nass
86,419,Lake Sockeye,1953,NA,NA,NA,Nass
87,424,Lake Sockeye,1953,NA,NA,NA,Nass
88,425,Lake Sockeye,1953,NA,NA,NA,Nass
89,416,Lake Sockeye,1953,NA,3500,NA,Nass
90,417,Lake Sockeye,1953,NA,3500,NA,Nass
91,426,River Sockeye,1953,NA,7500,NA,Nass
92,427,River Sockeye,1953,NA,NA,NA,Nass
93,401,Chinook,1954,NA,1900,NA,Nass
94,402,Chinook,1954,NA,750,NA,Nass
95,405,Chum,1954,NA,3400,NA,Nass
96,406,Chum,1954,15177,11700,27407,Nass
97,404,Chum,1954,21170,14600,38229,Nass
98,408,Coho,1954,NA,1150,NA,Nass
99,410,Coho,1954,10039,7075,20543,Nass
100,409,Coho,1954,NA,NA,NA,Nass
101,414,Pink (Odd),1954,NA,NA,NA,Nass
102,412,Pink (Even),1954,NA,NA,NA,Nass
103,415,Pink (Odd),1954,NA,NA,NA,Nass
